,MSE,MAE,RMSE,MAPE,R2
0,0.0005993251547353,0.0188191917575895,0.0244811183309786,0.053768964804875606,0.8115053847397536
1,0.00012632767004676666,0.008889652129953634,0.0112395582674226,0.030908646631368566,0.8125560233295195
2,0.00038790220236343333,0.015537215147758202,0.019695232985749767,0.038983993875489266,0.7624631350374914
3,0.0010983124314811,0.0221273343847133,0.0331407970857847,0.0524370929768427,0.7121675605723793
4,0.0003913101587841,0.0158267801319579,0.0197815610805651,0.0356496197046973,0.4919354855529791
5,0.0015040950499599001,0.0281911951070651,0.0387826642968209,0.0507798030477202,0.6697485169246667
6,0.0004523279712036,0.0147335380743888,0.0212680034606839,0.039867105168301,0.7363136983072968
7,0.00022984144004666666,0.011625104526468366,0.015160522419976898,0.040025779081053835,0.878855304412732
8,0.0002632758633978333,0.013204471498639033,0.016225777744005666,0.05032288716357187,0.7066010108031074
9,0.0001139061424326,0.0085368004755207,0.010672682063693798,0.0353533157809473,0.8485464815806699
10,0.0001384657204346,0.0093188736098818,0.0117671458066362,0.0399446171301851,0.7237043364721446
11,0.00028511650796856665,0.011876377548711967,0.016885393331766835,0.0843181960813029,0.8005830297577566
Mean,0.00046585052607120555,0.01489054453272069,0.01992503807284041,0.0460300017871963,0.7462483306242081
