TIMESTAMP,PPC_CLOSE_PRICE_USD,PPC_OPEN_PRICE_USD,PPC_HIGH_PRICE_USD,PPC_LOW_PRICE_USD
2018-02-02,3.5399,4.6589,4.6589,3.2808
2018-02-03,3.8711,3.5399,4.0698,3.3502
2018-02-04,3.498,3.8711,4.1483,3.2692
2018-02-05,2.8375,3.498,3.6329,2.601
2018-02-06,3.386,2.8375,3.499,2.1962
2018-02-07,3.452,3.386,3.713,3.0
2018-02-08,3.551,3.452,3.6901,3.39
2018-02-09,3.5924,3.55,3.6472,3.35
2018-02-10,3.6108,3.5924,3.7622,3.5319
2018-02-11,3.5155,3.6108,3.6298,3.3748
2018-02-12,3.7097,3.5155,3.7167,3.4995
2018-02-13,3.58,3.7097,3.7177,3.5369
2018-02-14,3.699,3.58,3.85,3.5
2018-02-15,3.877,3.699,4.0,3.611
2018-02-16,3.8031,3.875,3.9,3.675
2018-02-17,4.423,3.8031,4.5558,3.7911
2018-02-18,4.1009,4.423,4.4738,4.0098
2018-02-19,4.1445,4.1009,4.232,4.0499
2018-02-20,3.976,4.1445,4.2298,3.971
2018-02-21,3.6207,3.976,4.0507,3.546
2018-02-22,3.3626,3.6207,3.7277,3.2579
2018-02-23,3.319,3.3626,3.5518,3.2645
2018-02-24,3.1132,3.319,3.3873,3.0679
2018-02-25,3.0759,3.1132,3.2134,3.0216
2018-02-26,3.2493,3.0759,3.3691,3.0468
2018-02-27,3.2165,3.2493,3.3846,3.1962
2018-02-28,3.0665,3.2165,3.3717,3.057
2018-03-01,3.0689,3.0665,3.1072,3.0053
2018-03-02,3.0801,3.0689,3.3153,3.0286
2018-03-03,3.1108,3.0801,3.9679,3.0739
2018-03-04,3.1074,3.1108,3.588,3.0782
2018-03-05,3.1207,3.1074,3.3969,3.0607
2018-03-06,2.7036,3.1207,3.895,2.554
2018-03-07,2.5183,2.7036,3.2079,2.4749
2018-03-08,2.4094,2.5183,3.0644,2.4002
2018-03-09,2.4621,2.4094,3.3432,2.3239
2018-03-10,2.3435,2.4621,2.4856,2.3409
2018-03-11,2.5202,2.3435,2.5283,2.3329
2018-03-12,2.3636,2.5202,3.8395,2.3517
2018-03-13,2.2762,2.3636,3.6613,2.1698
2018-03-14,1.9364,2.2762,2.2851,1.8761
2018-03-15,1.9002,1.9368,1.9506,1.8457
2018-03-16,1.9505,1.9002,1.9531,1.8804
2018-03-17,1.786,1.9478,1.9528,1.7764
2018-03-18,1.6811,1.786,1.7875,1.6601
2018-03-19,1.8154,1.6811,1.8154,1.6811
2018-03-20,1.9396,1.8154,1.9396,1.7984
2018-03-21,2.0274,1.9396,2.055,1.937
2018-03-22,1.9341,2.0274,2.0665,1.9288
2018-03-23,2.0244,1.9341,2.0244,1.925
2018-03-24,2.0662,2.0244,2.0664,2.014
2018-03-25,1.971,2.0662,2.0662,1.9705
2018-03-26,1.8818,1.971,1.9735,1.8719
2018-03-27,1.8026,1.8818,3.7526,1.8018
2018-03-28,1.8328,1.8026,1.8377,1.7819
2018-03-29,1.6641,1.8328,1.8597,1.6026
2018-03-30,1.6271,1.6641,1.6986,1.5502
2018-03-31,1.61,1.6271,1.669,1.566
2018-04-01,1.581,1.61,1.637,1.54
2018-04-02,1.597,1.581,1.616,1.563
2018-04-03,1.661,1.597,1.701,1.573
2018-04-04,1.58,1.661,1.698,1.571
2018-04-05,1.555,1.58,1.619,1.511
2018-04-06,1.5101,1.555,1.566,1.5
2018-04-07,1.556,1.5101,1.5969,1.5002
2018-04-08,1.5812,1.556,1.5852,1.54
2018-04-09,1.5589,1.5812,1.7392,1.5478
2018-04-10,1.5972,1.5589,1.6047,1.5507
