DATE,GOLD_PRICE_USD,GOLD_PRICE_EUR,GOLD_PRICE_JPY,GOLD_PRICE_GBP,GOLD_PRICE_CAD,GOLD_PRICE_CHF,GOLD_PRICE_INR,GOLD_PRICE_CNY,GOLD_PRICE_TRY,GOLD_PRICE_SAR,GOLD_PRICE_IDR,GOLD_PRICE_AED,GOLD_PRICE_THB,GOLD_PRICE_VND,GOLD_PRICE_EGP,GOLD_PRICE_KRW,GOLD_PRICE_RUB,GOLD_PRICE_ZAR,GOLD_PRICE_AUD
2009-01-01,,,,,,,,,,,,,,,,,,,
2009-01-02,,,,,,,,,,,,,,,,,,,
2009-01-03,,,,,,,,,,,,,,,,,,,
2009-01-04,,,,,,,,,,,,,,,,,,,
2009-01-05,,,,,,,,,,,,,,,,,,,
2009-01-06,,,,,,,,,,,,,,,,,,,
2009-01-07,,,,,,,,,,,,,,,,,,,
2009-01-08,,,,,,,,,,,,,,,,,,,
2009-01-09,,,,,,,,,,,,,,,,,,,
2009-01-10,,,,,,,,,,,,,,,,,,,
2009-01-11,,,,,,,,,,,,,,,,,,,
2009-01-12,,,,,,,,,,,,,,,,,,,
2009-01-13,,,,,,,,,,,,,,,,,,,
2009-01-14,,,,,,,,,,,,,,,,,,,
2009-01-15,,,,,,,,,,,,,,,,,,,
2009-01-16,,,,,,,,,,,,,,,,,,,
2009-01-17,,,,,,,,,,,,,,,,,,,
2009-01-18,,,,,,,,,,,,,,,,,,,
2009-01-19,,,,,,,,,,,,,,,,,,,
2009-01-20,,,,,,,,,,,,,,,,,,,
2009-01-21,,,,,,,,,,,,,,,,,,,
2009-01-22,,,,,,,,,,,,,,,,,,,
2009-01-23,,,,,,,,,,,,,,,,,,,
2009-01-24,,,,,,,,,,,,,,,,,,,
2009-01-25,,,,,,,,,,,,,,,,,,,
2009-01-26,,,,,,,,,,,,,,,,,,,
2009-01-27,,,,,,,,,,,,,,,,,,,
2009-01-28,,,,,,,,,,,,,,,,,,,
2009-01-29,,,,,,,,,,,,,,,,,,,
2009-01-30,858.7,648.8,77443.2,594.4,1052.3,968.3,41980.5,5874.6,1380.9,3221.1,9567864.6,3154.2,29972.5,15007311.8,4744.6,1168847.4,27650.0,8521.5,1272.9
2009-01-31,,,,,,,,,,,,,,,,,,,
2009-02-01,,,,,,,,,,,,,,,,,,,
2009-02-02,,,,,,,,,,,,,,,,,,,
2009-02-03,,,,,,,,,,,,,,,,,,,
2009-02-04,,,,,,,,,,,,,,,,,,,
2009-02-05,,,,,,,,,,,,,,,,,,,
2009-02-06,,,,,,,,,,,,,,,,,,,
2009-02-07,,,,,,,,,,,,,,,,,,,
2009-02-08,,,,,,,,,,,,,,,,,,,
2009-02-09,,,,,,,,,,,,,,,,,,,
2009-02-10,,,,,,,,,,,,,,,,,,,
2009-02-11,,,,,,,,,,,,,,,,,,,
2009-02-12,,,,,,,,,,,,,,,,,,,
2009-02-13,,,,,,,,,,,,,,,,,,,
2009-02-14,,,,,,,,,,,,,,,,,,,
2009-02-15,,,,,,,,,,,,,,,,,,,
2009-02-16,,,,,,,,,,,,,,,,,,,
2009-02-17,,,,,,,,,,,,,,,,,,,
2009-02-18,,,,,,,,,,,,,,,,,,,
2009-02-19,,,,,,,,,,,,,,,,,,,
2009-02-20,,,,,,,,,,,,,,,,,,,
2009-02-21,,,,,,,,,,,,,,,,,,,
2009-02-22,,,,,,,,,,,,,,,,,,,
2009-02-23,,,,,,,,,,,,,,,,,,,
2009-02-24,,,,,,,,,,,,,,,,,,,
2009-02-25,,,,,,,,,,,,,,,,,,,
