Categorie: Alle categorieën

Maand,Buy Ethereum: (Wereldwijd)
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,<1
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,<1
2014-08,0
2014-09,0
2014-10,<1
2014-11,0
2014-12,0
2015-01,<1
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,<1
2015-09,<1
2015-10,<1
2015-11,<1
2015-12,<1
2016-01,1
2016-02,1
2016-03,2
2016-04,1
2016-05,2
2016-06,3
2016-07,2
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,2
2017-02,2
2017-03,8
2017-04,5
2017-05,33
2017-06,53
2017-07,23
2017-08,26
2017-09,19
2017-10,19
2017-11,46
2017-12,100
2018-01,57
2018-02,15
2018-03,8
2018-04,6
2018-05,6
2018-06,4
2018-07,4
2018-08,5
2018-09,4
2018-10,3
2018-11,3
2018-12,3
2019-01,3
2019-02,3
2019-03,2
2019-04,3
2019-05,3
2019-06,4
2019-07,3
2019-08,3
2019-09,2
2019-10,2
2019-11,3
2019-12,3
2020-01,3
2020-02,3
2020-03,4
2020-04,5
2020-05,6
2020-06,6
2020-07,8
2020-08,8
2020-09,5
2020-10,4
2020-11,8
2020-12,11
2021-01,35
2021-02,41
2021-03,21
2021-04,37
2021-05,70
2021-06,20
2021-07,13
2021-08,16
2021-09,15
2021-10,19
2021-11,28
2021-12,20
2022-01,32
2022-02,17
2022-03,12
2022-04,12
2022-05,11
2022-06,11
2022-07,8
2022-08,11
2022-09,9
2022-10,6
2022-11,6
2022-12,21
2023-01,10
2023-02,4
2023-03,4
2023-04,5
2023-05,4
2023-06,4
2023-07,4
2023-08,4
2023-09,3
2023-10,3
2023-11,4
2023-12,5
2024-01,5
2024-02,6
2024-03,11
2024-04,5
2024-05,5
2024-06,4
2024-07,5
2024-08,4
2024-09,3
2024-10,3
2024-11,10
2024-12,9
2025-01,8
2025-02,6
2025-03,5
2025-04,5
2025-05,5
