TIMESTAMP,PIVX_OPEN_PRICE_USDT,PIVX_HIGH_PRICE_USDT,PIVX_LOW_PRICE_USDT,PIVX_CLOSE_PRICE_USDT,PIVX_FIRST_TRADE_PRICE_USDT,PIVX_HIGH_TRADE_PRICE_USDT,PIVX_LOW_TRADE_PRICE_USDT,PIVX_LAST_TRADE_PRICE_USDT,PIVX_TOTAL_TRADE_COUNT,PIVX_TOTAL_TRADES_BUY,PIVX_TOTAL_TRADES_SELL,PIVX_VOLUME_USDT,PIVX_QUOTE_VOLUME,PIVX_VOLUME_BUY,PIVX_QUOTE_VOLUME_BUY,PIVX_VOLUME_SELL,PIVX_QUOTE_VOLUME_SELL
2023-11-16,0.595,0.6425,0.4303,0.5644,0.595,0.6425,0.4303,0.5644,189845,91862,97983,76329539,45137287.4009,35640000,21136304.234,40689539,24000983.1669
2023-11-17,0.5644,0.6174,0.4531,0.4803,0.5644,0.6174,0.4531,0.4803,72127,33672,38455,31964233,16629697.0477,13850103,7227615.6479,18114130,9402081.3998
2023-11-18,0.4803,0.4803,0.4,0.4208,0.48,0.4803,0.4,0.4208,33801,15335,18466,16409176,7027063.1116,7059260,3018278.7441,9349916,4008784.3675
2023-11-19,0.4208,0.4635,0.4083,0.4214,0.421,0.4635,0.4083,0.4214,21448,9533,11915,10253220,4360275.1055,4616482,1969189.7775,5636738,2391085.328
2023-11-20,0.4214,0.4447,0.3966,0.4056,0.4233,0.4447,0.3966,0.4056,17219,6738,10481,8873769,3731490.1436,3519928,1484367.3108,5353841,2247122.8328
2023-11-21,0.4056,0.4078,0.333,0.3374,0.4056,0.4078,0.333,0.3374,22709,9222,13487,11968887,4368082.7074,5168858,1887295.2587,6800029,2480787.4487
2023-11-22,0.3374,0.4188,0.3374,0.3831,0.3388,0.4188,0.3374,0.3831,42326,21673,20653,21309553,8190819.3779,10277480,3961940.9738,11032073,4228878.4041
2023-11-23,0.3831,0.3849,0.351,0.3779,0.3849,0.3849,0.351,0.3779,16898,7665,9233,8219466,3007529.8113,3691342,1352258.3499,4528124,1655271.4614
2023-11-24,0.3779,0.399,0.3532,0.3586,0.3779,0.399,0.3532,0.3586,15525,7092,8433,8086985,3006623.088,3358128,1253023.8925,4728857,1753599.1955
2023-11-25,0.3586,0.375,0.35,0.3571,0.3587,0.375,0.35,0.3571,9121,4113,5008,5486197,1978035.5797,2222602,803134.0855,3263595,1174901.4942
2023-11-26,0.3571,0.3635,0.3255,0.3385,0.3565,0.3635,0.3255,0.3385,13954,6533,7421,7960059,2736033.8836,3343084,1148889.1003,4616975,1587144.7833
2023-11-27,0.3385,0.3434,0.307,0.32,0.3375,0.3434,0.307,0.32,13673,6147,7526,8630201,2780336.014,3542979,1145143.6285,5087222,1635192.3855
2023-11-28,0.32,0.3572,0.3166,0.3326,0.3197,0.3572,0.3166,0.3326,18445,9452,8993,11359003,3841678.2094,5452794,1849344.5654,5906209,1992333.644
2023-11-29,0.3326,0.3347,0.31,0.3158,0.3339,0.3347,0.31,0.3158,8298,3829,4469,5097867,1632195.7942,2058203,659823.1661,3039664,972372.6281
2023-11-30,0.3158,0.325,0.3066,0.3204,0.3171,0.325,0.3066,0.3204,6204,3143,3061,3831527,1209209.2609,1857712,587205.7831,1973815,622003.4778
2023-12-01,0.3204,0.33,0.3131,0.3256,0.3205,0.33,0.3131,0.3256,7706,3858,3848,5633770,1809597.8118,2622084,843356.3083,3011686,966241.5035
2023-12-02,0.3256,0.4233,0.325,0.3684,0.3267,0.4233,0.325,0.3684,102252,53302,48950,57997284,22445114.452,29072456,11266010.511,28924828,11179103.941
2023-12-03,0.3684,0.3898,0.3509,0.3659,0.367,0.3898,0.3509,0.3659,26031,12936,13095,15761705,5815910.8381,7497790,2775648.2799,8263915,3040262.5582
2023-12-04,0.3659,0.3849,0.3399,0.3506,0.3667,0.3849,0.3399,0.3506,13344,6184,7160,8406880,3017213.6195,3800559,1368018.5283,4606321,1649195.0912
2023-12-05,0.3506,0.3755,0.34,0.359,0.3506,0.3755,0.34,0.359,15284,7602,7682,9504471,3404265.5341,4540251,1630874.3621,4964220,1773391.172
2023-12-06,0.359,0.3674,0.3399,0.343,0.359,0.3674,0.3399,0.343,8856,4053,4803,5488810,1916971.9413,2291603,801330.5858,3197207,1115641.3555
2023-12-07,0.343,0.3554,0.3372,0.3515,0.3419,0.3554,0.3372,0.3515,7097,3442,3655,5006775,1728201.6961,2342465,810772.3031,2664310,917429.393
2023-12-08,0.3515,0.4256,0.3463,0.3714,0.351,0.4256,0.3463,0.3714,42905,21906,20999,23871810,9248296.8609,11674498,4534207.8674,12197312,4714088.9935
2023-12-09,0.3714,0.3815,0.341,0.3489,0.3714,0.3815,0.341,0.3489,14971,7514,7457,8175765,2985614.8948,3703872,1358300.2572,4471893,1627314.6376
2023-12-10,0.3489,0.3635,0.3475,0.3574,0.3487,0.3635,0.3475,0.3574,8613,4534,4079,4529629,1605251.7238,2218210,787013.537,2311419,818238.1868
2023-12-11,0.3574,0.3612,0.327,0.3394,0.3579,0.3612,0.327,0.3394,8846,3863,4983,5843116,1981874.2053,2612673,886148.0025,3230443,1095726.2028
2023-12-12,0.3394,0.3498,0.3238,0.3294,0.3394,0.3498,0.3238,0.3294,6703,3338,3365,3301924,1112822.616,1379805,466597.7623,1922119,646224.8537
2023-12-13,0.3294,0.3733,0.315,0.344,0.3293,0.3733,0.315,0.344,16695,8127,8568,9146944,3137916.8466,4362108,1502581.7196,4784836,1635335.127
2023-12-14,0.344,0.3732,0.34,0.3482,0.3452,0.3732,0.34,0.3482,10490,5137,5353,5430594,1910314.5917,2518179,888340.6299,2912415,1021973.9618
2023-12-15,0.3482,0.351,0.3268,0.3269,0.3492,0.351,0.3268,0.3269,5478,2571,2907,3081007,1042249.6465,1339937,453697.1291,1741070,588552.5174
2023-12-16,0.3269,0.35,0.3226,0.3369,0.3277,0.35,0.3226,0.3369,7011,3383,3628,3326347,1111554.9882,1577047,527279.2766,1749300,584275.7116
2023-12-17,0.3369,0.3435,0.3192,0.3236,0.3371,0.3435,0.3192,0.3236,5418,2665,2753,2555854,843563.4821,1080552,356849.9862,1475302,486713.4959
2023-12-18,0.3236,0.3267,0.2974,0.3132,0.3236,0.3267,0.2974,0.3132,7751,3691,4060,3731105,1164475.3144,1678983,523942.4001,2052122,640532.9143
2023-12-19,0.3132,0.368,0.31,0.322,0.314,0.368,0.31,0.322,13850,7289,6561,6710554,2243048.5852,3336970,1119107.9727,3373584,1123940.6125
2023-12-20,0.322,0.3389,0.3169,0.3272,0.3222,0.3389,0.3169,0.3272,8917,4653,4264,4516182,1466110.8755,2021904,657357.8918,2494278,808752.9837
2023-12-21,0.3272,0.3371,0.3218,0.3307,0.327,0.3371,0.3218,0.3307,6982,3606,3376,3539085,1163541.3679,1624754,534289.5382,1914331,629251.8297
