,MSE,RMSE,MAE,MAPE,R2
0,75.11655271648678,8.666915554335153,6.724894644444443,0.04428058668848046,0.8223959339583731
1,15.671289344539142,3.958287042201112,3.00942975268817,0.02349107308290384,0.8251931102438489
2,50.58959054436021,7.112219039412125,5.635345268817203,0.03338639030579795,0.7671100473030971
3,139.57712983500005,11.814187315559161,7.866308444444446,0.04403908767477773,0.7250150559410452
4,50.87181462556774,7.132441232090229,5.562276989247311,0.030038294791478334,0.503458235860566
5,195.25396630741795,13.97296786908612,10.450448666666675,0.04627379707814646,0.6777075197214302
6,55.047849785758075,7.4166716188714075,5.310333225806451,0.033593478665429305,0.7587566794695922
7,31.549997684233208,5.613884604485778,4.362879247311828,0.03388329519858376,0.8749867015757431
8,35.85677769543475,5.985893670673028,4.92844080952381,0.04145551951298646,0.6996001996856108
9,14.912774100596009,3.8616336838239946,3.076163215053763,0.02758725503414051,0.8509364447371904
10,16.565606367881944,4.060329189830369,3.279643088888887,0.030151471560395337,0.7515036867463692
11,32.74826012844062,5.721552724644249,4.287707564102565,0.056486933387200296,0.8278096553768037
Mean,59.48013409464304,7.109748628751061,5.374489243082963,0.03705559858169337,0.7570394392183059
