TIMESTAMP,KIN_CLOSE_PRICE_USD,KIN_OPEN_PRICE_USD,KIN_HIGH_PRICE_USD,KIN_LOW_PRICE_USD
2018-02-26,0.00027669,0.00027669,0.00027669,0.00027669
2018-02-27,0.00028764,0.0002863,0.00029203,0.00028613
2018-02-28,0.00028091,0.00028764,0.00029305,0.00028078
2018-03-01,0.0002825,0.00028091,151946240.0,0.00024435
2018-03-02,0.00027825,0.0002825,670904256.0,0.00025655
2018-03-03,0.00025706,0.00027771,0.00028192,0.00025654
2018-03-04,0.0002727,0.00025659,0.00027751,0.00025109
2018-03-05,0.00026394,0.00027281,0.00028995,0.00026037
2018-03-06,0.0002653,0.0002637,0.00027911,0.00025464
2018-03-07,0.00023611,0.0002653,0.0002716,0.0002299
2018-03-08,0.00021274,0.000236,0.00024555,0.0002094
2018-03-09,0.00022134,0.00021274,0.00022367,0.00018554
2018-03-10,0.0002143,0.00022101,59073288.0,0.00021033
2018-03-11,0.00022687,0.0002141,0.00023168,0.00019775
2018-03-12,0.0002157,0.00022662,0.10473224,0.00020325
2018-03-13,0.00022028,0.00021592,0.00022133,0.0002073
2018-03-14,0.00019203,0.00022032,0.00022464,0.00018222
2018-03-15,0.00018296,0.00019244,0.00020389,0.00018007
2018-03-16,0.00018579,0.00018296,0.0002053,0.00016728
2018-03-17,0.0001704,0.00018592,0.00018998,0.00017032
2018-03-18,0.00017431,0.00017016,0.00018221,0.00014348
2018-03-19,0.00017203,0.00017444,0.00095854,0.00016104
2018-03-20,0.0001746,0.00017192,0.0001779,0.00016519
2018-03-21,0.00017612,0.00017541,0.00019569,0.00015005
2018-03-22,0.00017162,0.00017627,0.05239143,0.00016325
2018-03-23,0.00017359,0.00017248,0.00092047,0.00016189
2018-03-24,0.00017924,0.00017404,0.00018556,0.00016842
2018-03-25,0.00018807,0.00017898,0.00019163,0.0001783
2018-03-26,0.00017548,0.00018807,0.00018863,0.00016627
2018-03-27,0.00016821,0.00017503,0.00017802,0.0001617
2018-03-28,0.00017114,0.00016794,0.00018456,0.00016631
2018-03-29,0.00018436,0.00017145,0.00018616,0.00016143
2018-03-30,0.00017928,0.00018436,0.00018879,0.00016514
2018-03-31,0.00018285,0.00017885,0.00019411,0.00017591
2018-04-01,0.00016953,0.000183,0.00018857,0.00016241
2018-04-02,0.00017155,0.0001704,455776128.0,0.00016249
2018-04-03,0.00017225,0.00017155,0.00017546,0.00016232
2018-04-04,0.00014931,0.00017241,0.0001727,0.00013921
2018-04-05,0.00014347,0.00014931,0.00015163,0.00013353
2018-04-06,0.00013674,0.00014287,0.00014399,0.00012545
2018-04-07,0.00012869,0.0001368,0.00013984,0.00012129
2018-04-08,0.00011782,0.00012872,0.00013595,0.0001153
2018-04-09,0.00011365,0.0001181,0.00014186,0.00010903
2018-04-10,0.00011391,0.00011365,0.00060332,0.00010636
2018-04-11,0.00011824,0.00011416,0.00011908,9.87e-05
2018-04-12,0.00011863,0.00011812,1000000000.0,0.00010431
