TIMESTAMP,GNO_OPEN_PRICE_USDT,GNO_HIGH_PRICE_USDT,GNO_LOW_PRICE_USDT,GNO_CLOSE_PRICE_USDT,GNO_FIRST_TRADE_PRICE_USDT,GNO_HIGH_TRADE_PRICE_USDT,GNO_LOW_TRADE_PRICE_USDT,GNO_LAST_TRADE_PRICE_USDT,GNO_TOTAL_TRADE_COUNT,GNO_TOTAL_TRADES_BUY,GNO_TOTAL_TRADES_SELL,GNO_VOLUME_USDT,GNO_QUOTE_VOLUME,GNO_VOLUME_BUY,GNO_QUOTE_VOLUME_BUY,GNO_VOLUME_SELL,GNO_QUOTE_VOLUME_SELL
2021-08-30,294.9,418.0,294.9,309.0,294.9,418.0,294.9,309.0,103436,55080,48356,125066.394,42770848.5437,65129.384,22386333.1847,59937.01,20384515.359
2021-08-31,309.0,331.0,280.4,282.2,308.5,331.0,280.4,282.2,31872,16085,15787,35496.295,10810191.8886,17592.133,5405318.33,17904.162,5404873.5586
2021-09-01,282.2,311.0,263.8,294.2,282.2,311.0,263.8,294.2,39983,22655,17328,28640.252,8318843.3311,15297.939,4461033.2032,13342.313,3857810.1279
2021-09-02,294.2,327.0,289.1,307.4,294.5,327.0,289.1,307.4,24012,12262,11750,19690.055,6061375.5026,9836.699,3045807.4978,9853.356,3015568.0048
2021-09-03,307.4,343.0,298.8,310.7,307.4,343.0,298.8,310.7,23744,12126,11618,23279.121,7531512.2593,12709.892,4131013.6021,10569.229,3400498.6572
2021-09-04,310.7,323.8,299.7,302.5,310.5,323.8,299.7,302.5,7220,3464,3756,4970.858,1551983.8892,2043.932,641218.1226,2926.926,910765.7666
2021-09-05,302.5,311.8,296.9,308.7,302.1,311.8,296.9,308.7,4669,2367,2302,2875.285,873719.11,1342.684,409151.6243,1532.601,464567.4857
2021-09-06,308.7,314.6,300.1,314.1,308.7,314.6,300.1,314.1,5676,2914,2762,3908.713,1197961.0204,1962.347,602363.5229,1946.366,595597.4975
2021-09-07,314.1,314.9,219.2,261.6,314.2,314.9,219.2,261.6,7058,3284,3774,5854.016,1636663.6073,2381.5,668675.9018,3472.516,967987.7055
2021-09-08,261.6,274.9,247.0,266.8,262.5,274.9,247.0,266.8,3626,1934,1692,2691.6,695868.3264,1537.126,397179.8521,1154.474,298688.4743
2021-09-09,266.8,307.7,264.6,293.4,266.5,307.7,264.6,293.4,6078,3145,2933,4563.136,1334522.0279,2456.105,718376.9595,2107.031,616145.0684
2021-09-10,293.4,295.4,272.6,275.2,294.3,295.4,272.6,275.2,4259,2040,2219,3047.303,871963.7483,1447.222,415705.529,1600.081,456258.2193
2021-09-11,275.2,286.0,272.4,281.9,275.3,286.0,272.4,281.9,2068,1048,1020,954.14,266468.7389,495.907,138538.8905,458.233,127929.8484
2021-09-12,281.9,289.0,280.0,284.2,282.0,289.0,280.0,284.2,2033,1026,1007,930.969,265360.7055,520.309,148578.1751,410.66,116782.5304
2021-09-13,284.2,285.0,267.7,274.0,284.3,285.0,267.7,274.0,1913,817,1096,1017.301,279829.4164,414.356,113902.9169,602.945,165926.4995
2021-09-14,274.0,297.8,269.7,286.0,274.0,297.8,269.7,286.0,5760,3163,2597,5802.289,1652859.8243,3050.649,872315.2073,2751.64,780544.617
2021-09-15,286.0,297.4,283.0,295.2,286.0,297.4,283.0,295.2,4150,2249,1901,3961.74,1149451.6922,2107.023,612566.6935,1854.717,536884.9987
2021-09-16,295.2,300.0,284.4,285.8,295.0,300.0,284.4,285.8,2767,1281,1486,1419.846,416076.4219,666.485,195696.908,753.361,220379.5139
