TIMESTAMP,ARK_OPEN_PRICE_USDT,ARK_HIGH_PRICE_USDT,ARK_LOW_PRICE_USDT,ARK_CLOSE_PRICE_USDT,ARK_FIRST_TRADE_PRICE_USDT,ARK_HIGH_TRADE_PRICE_USDT,ARK_LOW_TRADE_PRICE_USDT,ARK_LAST_TRADE_PRICE_USDT,ARK_TOTAL_TRADE_COUNT,ARK_TOTAL_TRADES_BUY,ARK_TOTAL_TRADES_SELL,ARK_VOLUME_USDT,ARK_QUOTE_VOLUME,ARK_VOLUME_BUY,ARK_QUOTE_VOLUME_BUY,ARK_VOLUME_SELL,ARK_QUOTE_VOLUME_SELL
2023-10-05,0.4353,0.4841,0.4353,0.4788,0.4356,0.4841,0.4356,0.4788,102086,49672,52414,33102111,15475956.3502,17557635,8207215.38,15544476,7268740.9702
2023-10-06,0.4788,0.5983,0.4744,0.5606,0.4787,0.5983,0.4744,0.5606,214925,108254,106671,59916175,33076906.9592,30464686,16815166.9427,29451489,16261740.0165
2023-10-07,0.5606,0.5723,0.513,0.5335,0.5605,0.5723,0.513,0.5335,69353,34039,35314,20021907,10732481.9481,9262926,4964686.703,10758981,5767795.2451
2023-10-08,0.5335,0.5335,0.4719,0.4918,0.5333,0.5334,0.4719,0.4918,47044,23489,23555,14389539,7161509.2717,5991052,2990575.0505,8398487,4170934.2212
2023-10-09,0.4918,0.524,0.472,0.5093,0.4917,0.524,0.472,0.5093,80004,38530,41474,22069134,11000908.5262,11066661,5524358.9689,11002473,5476549.5573
2023-10-10,0.5093,0.5133,0.4623,0.4844,0.5085,0.5133,0.4623,0.4844,33032,16766,16266,10408213,5019076.946,5116847,2468833.8854,5291366,2550243.0606
2023-10-11,0.4844,0.4848,0.4516,0.4664,0.4847,0.4848,0.4516,0.4664,21095,10899,10196,5821524,2705704.4552,2809024,1306729.1393,3012500,1398975.3159
2023-10-12,0.4664,0.5149,0.4429,0.494,0.4664,0.5149,0.4429,0.494,49352,25181,24171,15329895,7463444.3569,7843115,3821504.2964,7486780,3641940.0605
2023-10-13,0.494,0.5173,0.494,0.5058,0.494,0.5173,0.494,0.5058,27444,13717,13727,8514138,4318554.1482,4066872,2062982.301,4447266,2255571.8472
2023-10-14,0.5058,0.5059,0.4857,0.4963,0.5058,0.5059,0.4857,0.4963,16285,8143,8142,4614112,2276133.6893,2177403,1074542.2128,2436709,1201591.4765
2023-10-15,0.4963,0.5447,0.4771,0.544,0.4963,0.5447,0.4771,0.544,50495,27394,23101,14545223,7417604.1795,7698018,3927558.2453,6847205,3490045.9342
2023-10-16,0.544,0.5717,0.5015,0.5159,0.544,0.5717,0.5015,0.5159,70678,36090,34588,27050738,14380038.355,12210328,6497512.4722,14840410,7882525.8828
2023-10-17,0.5159,0.5199,0.47,0.496,0.5159,0.5199,0.47,0.496,20772,10681,10091,8713261,4299675.466,4486660,2213201.0808,4226601,2086474.3852
2023-10-18,0.496,0.5165,0.4512,0.4553,0.496,0.5165,0.4512,0.4553,33068,16750,16318,12926982,6219996.9657,6568247,3174337.0722,6358735,3045659.8935
2023-10-19,0.4553,0.4739,0.4225,0.4434,0.4551,0.4739,0.4225,0.4434,23397,11200,12197,9640982,4295757.3319,4830792,2156662.7199,4810190,2139094.612
2023-10-20,0.4434,0.4545,0.4333,0.4511,0.444,0.4545,0.4333,0.4511,13607,6350,7257,5457545,2429986.2343,2360603,1052278.9241,3096942,1377707.3102
2023-10-21,0.4511,0.4605,0.4438,0.457,0.4513,0.4605,0.4438,0.457,9362,4532,4830,3754146,1701650.8804,1763975,800343.1007,1990171,901307.7797
2023-10-22,0.457,0.4576,0.4401,0.4526,0.457,0.4576,0.4401,0.4526,8133,4337,3796,3037672,1364879.1817,1350456,607331.8568,1687216,757547.3249
2023-10-23,0.4526,0.465,0.4359,0.4564,0.4526,0.465,0.4359,0.4564,11177,6051,5126,4533411,2027839.8656,2284334,1023190.8108,2249077,1004649.0548
2023-10-24,0.4564,0.4708,0.4322,0.4534,0.4567,0.4708,0.4322,0.4534,30048,17434,12614,11255167,5088846.0187,5167818,2338036.4923,6087349,2750809.5264
2023-10-25,0.4534,0.4574,0.4318,0.4538,0.4534,0.4574,0.4318,0.4538,19428,11037,8391,6543950,2935384.0208,3077289,1381357.2543,3466661,1554026.7665
2023-10-26,0.4538,0.4753,0.4356,0.468,0.4538,0.4753,0.4356,0.468,33493,16945,16548,14277270,6567856.7552,6779190,3121894.0127,7498080,3445962.7425
2023-10-27,0.468,0.5676,0.45,0.5304,0.4678,0.5676,0.45,0.5304,172555,90940,81615,61566664,32556814.9761,30050952,15906844.7558,31515712,16649970.2203
2023-10-28,0.5304,0.5644,0.5147,0.5396,0.5311,0.5644,0.5147,0.5396,66935,31086,35849,22715156,12299029.2625,10139032,5488559.4249,12576124,6810469.8376
2023-10-29,0.5396,0.7852,0.515,0.7266,0.5402,0.7852,0.515,0.7266,365427,194273,171154,110546126,75069460.6113,53907009,36638016.8471,56639117,38431443.7642
2023-10-30,0.7266,1.1,0.7062,0.9757,0.7262,1.1,0.7062,0.9757,714107,362539,351568,152348435,135365280.5033,75874387,67430955.7366,76474048,67934324.7667
2023-10-31,0.9757,1.0992,0.8526,1.0089,0.9759,1.0992,0.8526,1.0089,699168,353061,346107,150044368,146897825.2461,73348583,71858135.0531,76695785,75039690.193
2023-11-01,1.0089,1.1544,0.8893,1.012,1.0092,1.1544,0.8893,1.012,437037,220938,216099,89614909,89138079.2688,44137941,43964434.2678,45476968,45173645.001
2023-11-02,1.012,1.1498,0.9626,0.997,1.0125,1.1498,0.9626,0.997,387201,194774,192427,71820197,74439720.083,35560025,36856300.0865,36260172,37583419.9965
2023-11-03,0.997,1.2801,0.9231,1.1364,0.9957,1.2801,0.9231,1.1364,447636,227663,219973,90017090,101305204.9818,44096584,49751814.8919,45920506,51553390.0899
2023-11-04,1.1364,1.65,1.0928,1.597,1.1361,1.65,1.0928,1.597,518129,274347,243782,78621407,111025075.5196,39586596,55881543.9468,39034811,55143531.5728
2023-11-05,1.597,1.75,1.4447,1.5071,1.5981,1.75,1.4447,1.5071,344710,176110,168600,52353929,83031064.9724,25576108,40617823.4225,26777821,42413241.5499
2023-11-06,1.5071,1.5776,1.3963,1.4251,1.5053,1.5776,1.3963,1.4251,152617,73712,78905,23288563,34267064.0141,11111992,16375872.1298,12176571,17891191.8843
2023-11-07,1.4251,1.5114,1.3181,1.3983,1.4259,1.5114,1.3181,1.3983,163601,84410,79191,21486858,30234484.0946,10552495,14852389.9551,10934363,15382094.1395
2023-11-08,1.3983,1.5444,1.37,1.4156,1.3983,1.5444,1.37,1.4156,176646,80944,95702,25221618,36163052.2933,11821046,16933626.4573,13400572,19229425.836
2023-11-09,1.4156,1.7998,1.3455,1.5186,1.416,1.7998,1.3455,1.5186,287007,143670,143337,42153325,66629327.7724,20808379,32815428.6211,21344946,33813899.1513
2023-11-10,1.5186,1.8645,1.4713,1.7902,1.518,1.8645,1.4713,1.7902,265337,147192,118145,34521196,57810969.6973,18521554,31015518.7407,15999642,26795450.9566
2023-11-11,1.7902,1.8423,1.4229,1.4368,1.7873,1.8423,1.4229,1.4368,142637,72407,70230,18680752,29550230.4608,9305865,14720780.3979,9374887,14829450.0629
2023-11-12,1.4368,1.8011,1.3175,1.6745,1.4369,1.8011,1.3175,1.6745,243837,133117,110720,31462502,49266406.1705,15782279,24822647.2547,15680223,24443758.9158
2023-11-13,1.6745,1.7471,1.3818,1.4022,1.6719,1.7471,1.3818,1.4022,194234,91356,102878,20736309,31366160.7439,10542008,15935919.2095,10194301,15430241.5344
2023-11-14,1.4022,1.5944,1.333,1.5694,1.4027,1.5944,1.333,1.5694,250368,139794,110574,26030955,39056047.5219,14547017,21851893.286,11483938,17204154.2359
2023-11-15,1.5694,1.7098,1.512,1.6258,1.5692,1.7098,1.512,1.6258,154355,86090,68265,14746671,23761376.1129,7301521,11765022.0121,7445150,11996354.1008
2023-11-16,1.6258,1.69,1.5,1.5421,1.6266,1.69,1.5,1.5421,154065,77137,76928,15746005,25225869.1709,7683611,12301246.3614,8062394,12924622.8095
2023-11-17,1.5421,1.66,1.4501,1.6283,1.5428,1.66,1.4501,1.6283,105553,53985,51568,11919543,18613559.2157,5446481,8510913.4636,6473062,10102645.7521
2023-11-18,1.6283,1.7713,1.4459,1.4993,1.6296,1.7713,1.4459,1.4993,215867,106928,108939,25487970,40524936.4974,13253419,21111809.476,12234551,19413127.0214
2023-11-19,1.4993,1.5887,1.4312,1.5731,1.4991,1.5887,1.4312,1.5731,92575,48370,44205,11677004,17875649.1942,5552884,8508118.0886,6124120,9367531.1056
2023-11-20,1.5731,1.7441,1.5344,1.5756,1.5733,1.7441,1.5344,1.5756,155410,83129,72281,18033084,29341728.3421,8872942,14448222.5681,9160142,14893505.774
2023-11-21,1.5756,1.5984,1.492,1.534,1.5758,1.5984,1.492,1.534,100478,47253,53225,10921146,16869756.8158,4801104,7411745.4591,6120042,9458011.3567
2023-11-22,1.534,1.7225,1.5083,1.5997,1.5366,1.7225,1.5083,1.5997,388070,183038,205032,39625145,64400772.8018,19754317,32038891.1178,19870828,32361881.684
2023-11-23,1.5997,1.6197,1.472,1.5358,1.5994,1.6197,1.472,1.5358,316166,163674,152492,28176405,43806757.1612,14797813,22989353.3059,13378592,20817403.8553
2023-11-24,1.5358,1.66,1.4577,1.6211,1.5358,1.66,1.4577,1.6211,632903,306621,326282,62294624,96515367.7209,32590682,50541772.6335,29703942,45973595.0874
2023-11-25,1.6211,1.6649,1.5203,1.5765,1.6211,1.6649,1.5203,1.5765,350613,179382,171231,33226471,52213154.7001,19165265,30105091.1948,14061206,22108063.5053
2023-11-26,1.5765,1.63,1.2623,1.3323,1.5751,1.63,1.2623,1.3323,399743,208174,191569,45546127,64305405.8385,21496681,30555760.4165,24049446,33749645.422
2023-11-27,1.3323,1.3479,1.108,1.15,1.3266,1.3479,1.108,1.15,443913,226101,217812,46898312,56235056.4953,21426596,25703225.6166,25471716,30531830.8787
2023-11-28,1.15,1.1563,1.035,1.1115,1.15,1.1563,1.035,1.1115,147142,70696,76446,19093634,20735018.5207,9301611,10107237.2289,9792023,10627781.2918
2023-11-29,1.1115,1.13,1.0441,1.0661,1.1115,1.13,1.0441,1.0661,67959,30903,37056,9041763,9790203.8275,4205008,4562575.762,4836755,5227628.0655
2023-11-30,1.0661,1.0747,1.0303,1.0693,1.0671,1.0747,1.0303,1.0693,63620,35219,28401,7085452,7448688.7218,3253610,3420075.8926,3831842,4028612.8292
2023-12-01,1.0693,1.0784,1.0483,1.0746,1.0682,1.0784,1.0483,1.0746,33637,18293,15344,4299180,4567502.6741,2177335,2313391.8985,2121845,2254110.7756
2023-12-02,1.0746,1.1452,1.0736,1.1319,1.0742,1.1452,1.0736,1.1319,95458,48213,47245,12199959,13668770.8463,6408655,7181776.5708,5791304,6486994.2755
2023-12-03,1.1319,1.1486,1.0928,1.112,1.1319,1.1486,1.0928,1.112,50479,25646,24833,6127334,6877831.9342,2784434,3127712.0678,3342900,3750119.8664
2023-12-04,1.112,1.1633,1.0111,1.1016,1.1119,1.1633,1.0111,1.1016,82179,40273,41906,10613748,11838466.2287,4461715,4967220.2161,6152033,6871246.0126
2023-12-05,1.1016,1.1116,1.0337,1.0627,1.1018,1.1116,1.0337,1.0627,52020,29587,22433,6883801,7318863.4026,3818253,4053416.4131,3065548,3265446.9895
2023-12-06,1.0627,1.0714,1.0162,1.0341,1.0647,1.0714,1.0162,1.0341,41543,22467,19076,5345404,5590661.163,2730816,2856251.1166,2614588,2734410.0464
2023-12-07,1.0341,1.0647,1.0126,1.0537,1.0355,1.0647,1.0126,1.0537,35823,17135,18688,4364735,4538023.0721,1918557,1994069.0009,2446178,2543954.0712
2023-12-08,1.0537,1.0756,1.0407,1.0709,1.0533,1.0756,1.0407,1.0709,24875,12834,12041,3658505,3867411.6175,1620466,1713240.0748,2038039,2154171.5427
2023-12-09,1.0709,1.0937,1.0375,1.0454,1.0704,1.0937,1.0375,1.0454,34046,16611,17435,4852098,5176303.1553,2141198,2280516.2239,2710900,2895786.9314
2023-12-10,1.0454,1.0738,1.0227,1.0614,1.0459,1.0738,1.0227,1.0614,25737,13346,12391,3554701,3729012.6619,1805713,1892267.7189,1748988,1836744.943
2023-12-11,1.0614,1.0646,0.8811,0.9514,1.0618,1.0646,0.8811,0.9514,63099,30707,32392,8367510,8113026.2468,4411766,4275386.4746,3955744,3837639.7722
2023-12-12,0.9514,0.9683,0.9046,0.9316,0.9518,0.9683,0.9046,0.9316,31737,13212,18525,3839178,3600310.3617,1701359,1595348.7906,2137819,2004961.5711
2023-12-13,0.9316,0.9646,0.8783,0.9504,0.932,0.9646,0.8783,0.9504,24350,13942,10408,3250548,2973414.7499,1637272,1498039.3795,1613276,1475375.3704
2023-12-14,0.9504,0.9871,0.9234,0.9846,0.9509,0.9871,0.9234,0.9846,23168,12657,10511,3051887,2919561.6957,1434481,1372548.3528,1617406,1547013.3429
2023-12-15,0.9846,1.0425,0.9519,0.9575,0.9844,1.0425,0.9519,0.9575,75365,40321,35044,9809798,9925515.9996,5261526,5326474.5403,4548272,4599041.4593
2023-12-16,0.9575,1.0062,0.9575,0.9924,0.9586,1.0062,0.9584,0.9924,34032,19006,15026,3689867,3652702.0356,1813428,1792985.2817,1876439,1859716.7539
2023-12-17,0.9924,1.0028,0.9368,0.9467,0.992,1.0028,0.9368,0.9467,22823,12420,10403,2438935,2383632.8228,1137852,1113185.0502,1301083,1270447.7726
2023-12-18,0.9467,0.9986,0.8741,0.9614,0.9473,0.9986,0.8741,0.9614,72045,39264,32781,8458099,7992409.6948,4665097,4421872.3122,3793002,3570537.3826
2023-12-19,0.9614,0.9673,0.92,0.9333,0.9619,0.9673,0.92,0.9333,22971,11016,11955,2598833,2457577.3733,1190212,1125335.9726,1408621,1332241.4007
2023-12-20,0.9333,0.9763,0.9141,0.9563,0.9328,0.9763,0.9141,0.9563,28077,13602,14475,3593687,3405445.6496,1661518,1573908.9635,1932169,1831536.6861
2023-12-21,0.9563,0.9784,0.9454,0.9703,0.9568,0.9784,0.9454,0.9703,27770,12010,15760,3727867,3594448.3203,1493634,1439688.9671,2234233,2154759.3532
2023-12-22,0.9703,0.9946,0.9357,0.9821,0.9701,0.9946,0.9357,0.9821,27200,12694,14506,3683609,3547265.991,1545368,1487751.3179,2138241,2059514.6731
2023-12-23,0.9821,1.0662,0.9813,1.0394,0.9821,1.0662,0.9813,1.0394,145924,75601,70323,18050362,18754516.1115,9718608,10091818.905,8331754,8662697.2065
2023-12-24,1.0394,1.0726,0.98,0.9973,1.0394,1.0726,0.98,0.9973,51107,24733,26374,5988874,6183557.0437,2734107,2829138.5514,3254767,3354418.4923
2023-12-25,0.9973,1.0393,0.9837,1.0174,0.9977,1.0393,0.9837,1.0174,28648,13961,14687,3436023,3486269.9392,1495122,1516435.7352,1940901,1969834.204
2023-12-26,1.0174,1.0255,0.905,0.9736,1.0176,1.0255,0.905,0.9736,42416,20557,21859,5475855,5337467.2001,2436612,2371065.2099,3039243,2966401.9902
2023-12-27,0.9736,0.9865,0.9336,0.977,0.9743,0.9865,0.9336,0.977,23639,11785,11854,2743388,2645831.7984,1240716,1196665.0101,1502672,1449166.7883
2023-12-28,0.977,0.9899,0.9353,0.9641,0.977,0.9899,0.9353,0.9641,22198,11621,10577,2695284,2595420.299,1348388,1297501.4617,1346896,1297918.8373
2023-12-29,0.9641,0.9653,0.916,0.9397,0.9642,0.9653,0.916,0.9397,24152,11814,12338,2742984,2579902.0285,1215642,1144012.9119,1527342,1435889.1166
2023-12-30,0.9397,0.9544,0.9283,0.9443,0.9399,0.9544,0.9283,0.9443,12862,6676,6186,1328009,1252907.992,609634,575186.0919,718375,677721.9001
2023-12-31,0.9443,0.9639,0.9014,0.9262,0.9441,0.9639,0.9014,0.9262,18161,9452,8709,1918482,1809641.875,928218,874237.0649,990264,935404.8101
2024-01-01,0.9262,0.9754,0.9172,0.968,0.9255,0.9754,0.9172,0.968,19854,10498,9356,2014203,1896862.0709,1055460,992082.8102,958743,904779.2607
2024-01-02,0.968,1.004,0.9619,0.9849,0.9677,1.004,0.9619,0.9849,29813,17258,12555,3444073,3380544.0554,1966443,1932330.4539,1477630,1448213.6015
2024-01-03,0.9849,1.0054,0.6369,0.8551,0.9854,1.0054,0.6369,0.8551,115093,49370,65723,12543335,10704254.9569,6563872,5569952.2052,5979463,5134302.7517
2024-01-04,0.8551,0.8674,0.824,0.8418,0.8543,0.8674,0.824,0.8418,36940,14239,22701,3688801,3115384.4563,1607391,1358918.8049,2081410,1756465.6514
2024-01-05,0.8418,0.8652,0.7712,0.8213,0.8417,0.8652,0.7712,0.8213,38356,19747,18609,5026355,4119107.2156,2734041,2239995.1773,2292314,1879112.0383
2024-01-06,0.8213,0.8214,0.7705,0.7934,0.8214,0.8214,0.7705,0.7934,24680,13451,11229,3361584,2671303.2263,1973387,1569135.6017,1388197,1102167.6246
2024-01-07,0.7934,0.8069,0.718,0.7258,0.7931,0.8069,0.718,0.7258,24380,12237,12143,3044842,2340863.2448,1675696,1285064.3003,1369146,1055798.9445
2024-01-08,0.7258,0.7405,0.6256,0.7376,0.7258,0.7405,0.6256,0.7376,50689,28129,22560,9705461,6489945.741,4763758,3208274.9521,4941703,3281670.7889
2024-01-09,0.7376,0.7376,0.6667,0.7019,0.7371,0.7371,0.6667,0.7019,18387,10002,8385,3415079,2382429.9026,1805137,1258711.3764,1609942,1123718.5262
2024-01-10,0.7019,0.87,0.6849,0.812,0.7,0.87,0.6849,0.812,213994,104312,109682,41950982,33856795.5546,20956639,16914175.6147,20994343,16942619.9399
2024-01-11,0.812,0.9032,0.8041,0.8456,0.8121,0.9032,0.8041,0.8456,135375,66677,68698,21259033,18341068.109,10010302,8656925.5597,11248731,9684142.5493
2024-01-12,0.8456,0.851,0.7618,0.7961,0.8469,0.851,0.7618,0.7961,47397,23435,23962,6150751,5020563.2599,2724875,2224851.4067,3425876,2795711.8532
2024-01-13,0.7961,0.8396,0.794,0.8092,0.7974,0.8396,0.794,0.8092,27990,16126,11864,3350697,2733402.9615,1781115,1454073.2993,1569582,1279329.6622
2024-01-14,0.8092,0.851,0.7825,0.786,0.8091,0.851,0.7825,0.786,19506,9114,10392,2580905,2099670.7641,1225043,997900.2486,1355862,1101770.5155
2024-01-15,0.786,0.8122,0.7828,0.8003,0.7868,0.8122,0.7828,0.8003,15693,9603,6090,1636934,1308141.6177,784051,626803.0624,852883,681338.5553
2024-01-16,0.8003,0.822,0.7755,0.8045,0.8012,0.822,0.7755,0.8045,14223,6935,7288,1769402,1417620.1537,708444,567429.4983,1060958,850190.6554
2024-01-17,0.8045,0.8097,0.773,0.7882,0.8057,0.8097,0.773,0.7882,12170,6244,5926,1400916,1106351.8787,629154,497155.6981,771762,609196.1806
2024-01-18,0.7882,0.8513,0.7703,0.8116,0.7884,0.8513,0.7703,0.8116,87599,48571,39028,11993302,9849283.6527,6794657,5590142.5004,5198645,4259141.1523
2024-01-19,0.8116,0.8188,0.7385,0.7838,0.8116,0.8188,0.7385,0.7838,37572,18735,18837,5139486,4009491.3257,2316158,1805556.3091,2823328,2203935.0166
2024-01-20,0.7838,0.7841,0.7539,0.7688,0.7838,0.7841,0.7539,0.7688,9999,5545,4454,1295004,994902.3132,645278,495196.794,649726,499705.5192
2024-01-21,0.7688,0.774,0.7564,0.7622,0.7681,0.774,0.7564,0.7622,7968,4772,3196,788967,604905.2687,380304,291634.239,408663,313271.0297
2024-01-22,0.7622,0.7654,0.6999,0.7028,0.7623,0.7654,0.6999,0.7028,19245,10027,9218,2436243,1786998.1054,1060415,778816.8572,1375828,1008181.2482
2024-01-23,0.7028,0.7138,0.6373,0.6869,0.7033,0.7138,0.6373,0.6869,30510,17836,12674,3378552,2254636.3712,1685178,1122442.1285,1693374,1132194.2427
2024-01-24,0.6869,0.8323,0.6869,0.8206,0.6874,0.8323,0.6874,0.8206,161882,80993,80889,23738338,18373391.8036,12280389,9503697.9637,11457949,8869693.8399
2024-01-25,0.8206,1.236,0.7952,0.9009,0.8203,1.236,0.7952,0.9009,685406,350293,335113,76443359,73355812.3886,37601567,36054864.6588,38841792,37300947.7298
2024-01-26,0.9009,0.96,0.8488,0.8678,0.9017,0.96,0.8488,0.8678,252852,132321,120531,15162064,13457397.4597,7668511,6805154.6062,7493553,6652242.8535
2024-01-27,0.8678,0.8794,0.8295,0.838,0.8679,0.8794,0.8295,0.838,72279,36469,35810,5449379,4617092.7184,2573809,2181964.904,2875570,2435127.8144
2024-01-28,0.838,0.904,0.8212,0.8786,0.8381,0.904,0.8212,0.8786,146500,74849,71651,12934618,11158226.4332,6390203,5512802.3558,6544415,5645424.0774
2024-01-29,0.8786,0.904,0.8472,0.8837,0.8786,0.904,0.8472,0.8837,102902,53487,49415,7490073,6530376.3041,3813327,3327779.9718,3676746,3202596.3323
2024-01-30,0.8837,1.0134,0.8837,0.933,0.8843,1.0134,0.8837,0.933,223548,110442,113106,16240084,15517670.2797,8262182,7888052.3896,7977902,7629617.8901
2024-01-31,0.933,0.936,0.8592,0.8758,0.933,0.936,0.8592,0.8758,86401,42861,43540,4945332,4442333.2164,2203913,1980012.9986,2741419,2462320.2178
2024-02-01,0.8758,0.9057,0.8337,0.8663,0.8753,0.9057,0.8337,0.8663,58969,31840,27129,3025964,2593642.8618,1499303,1285819.1836,1526661,1307823.6782
2024-02-02,0.8663,0.8907,0.8357,0.8591,0.8667,0.8907,0.8357,0.8591,29002,15675,13327,2087193,1784705.2586,962081,823696.3476,1125112,961008.911
2024-02-03,0.8591,0.8685,0.8287,0.8375,0.8593,0.8685,0.8287,0.8375,15566,7507,8059,1217324,1025275.878,501435,422801.8358,715889,602474.0422
2024-02-04,0.8375,0.8485,0.815,0.8218,0.8375,0.8485,0.815,0.8218,15399,7733,7666,1044113,863638.3196,492136,406951.8378,551977,456686.4818
2024-02-05,0.8218,0.8309,0.7918,0.821,0.8214,0.8309,0.7918,0.821,22374,12902,9472,1765742,1438608.5925,913001,743587.7454,852741,695020.8471
2024-02-06,0.821,0.8817,0.8112,0.8482,0.8207,0.8817,0.8112,0.8482,69926,34600,35326,5700119,4871143.3364,2984065,2552665.5148,2716054,2318477.8216
2024-02-07,0.8482,0.88,0.8215,0.855,0.8483,0.88,0.8215,0.855,34968,16820,18148,3366719,2850183.9431,1594965,1351306.8983,1771754,1498877.0448
2024-02-08,0.855,0.8699,0.8379,0.8462,0.8543,0.8699,0.8379,0.8462,18155,9619,8536,1599391,1358679.2439,793765,674797.6357,805626,683881.6082
2024-02-09,0.8462,0.8627,0.8398,0.8603,0.846,0.8627,0.8398,0.8603,18180,9058,9122,1708357,1455936.9287,806364,686886.8702,901993,769050.0585
2024-02-10,0.8603,0.9022,0.8603,0.885,0.8608,0.9022,0.8608,0.885,34181,16942,17239,3045872,2691924.3278,1613666,1426196.6084,1432206,1265727.7194
2024-02-11,0.885,0.8965,0.8696,0.8763,0.8847,0.8965,0.8696,0.8763,18072,8846,9226,1628972,1435491.003,774586,683335.9632,854386,752155.0398
2024-02-12,0.8763,0.8961,0.8523,0.894,0.8761,0.8961,0.8523,0.894,19554,8867,10687,1520495,1332709.3399,597265,522926.9416,923230,809782.3983
2024-02-13,0.894,0.8978,0.8453,0.868,0.8941,0.8978,0.8453,0.868,27202,13415,13787,2501474,2177104.526,1082754,941975.8304,1418720,1235128.6956
2024-02-14,0.868,0.8856,0.8575,0.8791,0.868,0.8856,0.8575,0.8791,27011,12875,14136,2471982,2161170.4814,1077887,942281.7726,1394095,1218888.7088
2024-02-15,0.8791,0.9088,0.8618,0.8919,0.8794,0.9088,0.8618,0.8919,48732,19945,28787,4306029,3791857.7209,1425649,1257772.6573,2880380,2534085.0636
2024-02-16,0.8919,0.9593,0.8839,0.9364,0.8919,0.9593,0.8839,0.9364,86287,45850,40437,6486251,6017959.9197,3506893,3261682.5186,2979358,2756277.4011
2024-02-17,0.9364,0.965,0.8989,0.945,0.936,0.965,0.8989,0.945,61662,34694,26968,4444428,4160676.5482,2443862,2291085.3712,2000566,1869591.177
2024-02-18,0.945,0.963,0.9169,0.9515,0.945,0.963,0.9169,0.9515,29983,15592,14391,2416562,2277237.3698,1181961,1114495.9517,1234601,1162741.4181
2024-02-19,0.9515,0.9645,0.9351,0.9606,0.9519,0.9645,0.9351,0.9606,29143,12973,16170,2221968,2108822.5225,949182,900455.0568,1272786,1208367.4657
2024-02-20,0.9606,0.9757,0.8926,0.9353,0.9608,0.9757,0.8926,0.9353,37966,17979,19987,2482497,2327084.5279,1075046,1006044.9946,1407451,1321039.5333
2024-02-21,0.9353,0.9535,0.8415,0.8784,0.9354,0.9535,0.8415,0.8784,54806,29071,25735,3908155,3465880.8593,2042262,1807585.4629,1865893,1658295.3964
