Test Period,Model,nRMSE,nMAE,nMAPE,RMSE,MAE,MAPE,R2
June 2021,ARIMA,0.0401,0.0298,6.357,18.247,13.541,5.574,0.641
,GRU,0.0407,0.0308,6.598,18.512,14.010,5.783,0.631
,HYBRID,0.0418,0.0317,6.732,19.023,14.430,5.907,0.610
,KNN,0.0412,0.0311,6.625,18.735,14.142,5.810,0.622
,LSTM,0.0413,0.0320,6.840,18.774,14.550,5.997,0.620
,RF,0.0417,0.0308,6.537,18.954,14.014,5.735,0.613
,SVR,0.0392,0.0286,6.129,17.807,13.011,5.373,0.658
,TCN,0.0403,0.0303,6.455,18.324,13.787,5.662,0.638
,TFT,0.0404,0.0300,6.405,18.385,13.653,5.617,0.636
July 2021,ARIMA,0.0148,0.0120,3.052,6.740,5.480,2.623,0.786
,GRU,0.0148,0.0127,3.216,6.738,5.771,2.764,0.787
,HYBRID,0.0148,0.0127,3.212,6.721,5.762,2.761,0.788
,KNN,0.0148,0.0121,3.075,6.718,5.512,2.642,0.788
,LSTM,0.0149,0.0128,3.236,6.761,5.822,2.782,0.785
,RF,0.0154,0.0125,3.184,6.990,5.703,2.735,0.770
,SVR,0.0169,0.0133,3.405,7.667,6.044,2.922,0.724
,TCN,0.0150,0.0125,3.159,6.805,5.678,2.716,0.782
,TFT,0.0149,0.0123,3.134,6.798,5.600,2.692,0.783
August 2021,ARIMA,0.0254,0.0217,3.980,11.574,9.848,3.557,0.766
,GRU,0.0256,0.0219,4.045,11.640,9.973,3.613,0.763
,HYBRID,0.0255,0.0219,4.050,11.588,9.976,3.617,0.765
,KNN,0.0248,0.0211,3.872,11.271,9.580,3.460,0.778
,LSTM,0.0262,0.0227,4.192,11.898,10.306,3.743,0.753
,RF,0.0249,0.0209,3.870,11.332,9.509,3.456,0.776
,SVR,0.0255,0.0223,4.081,11.617,10.134,3.648,0.764
,TCN,0.0254,0.0216,3.967,11.535,9.812,3.545,0.768
,TFT,0.0257,0.0217,3.978,11.681,9.871,3.556,0.762
September 2021,ARIMA,0.0311,0.0201,4.071,14.141,9.140,3.599,0.720
,GRU,0.0317,0.0207,4.197,14.435,9.418,3.710,0.708
,HYBRID,0.0316,0.0209,4.226,14.377,9.516,3.738,0.710
,KNN,0.0308,0.0197,3.996,14.000,8.976,3.533,0.725
,LSTM,0.0316,0.0211,4.256,14.383,9.576,3.764,0.710
,RF,0.0335,0.0228,4.624,15.248,10.357,4.087,0.674
,SVR,0.0336,0.0223,4.509,15.269,10.161,3.987,0.673
,TCN,0.0309,0.0200,4.050,14.071,9.093,3.580,0.722
,TFT,0.0313,0.0200,4.055,14.213,9.084,3.584,0.717
October 2021,ARIMA,0.0196,0.0153,2.891,8.921,6.964,2.578,0.131
,GRU,0.0198,0.0154,2.916,9.010,7.018,2.600,0.114
,HYBRID,0.0198,0.0155,2.938,9.002,7.064,2.619,0.115
,KNN,0.0198,0.0154,2.903,8.998,6.999,2.589,0.116
,LSTM,0.0201,0.0159,3.011,9.137,7.250,2.685,0.089
,RF,0.0207,0.0160,3.022,9.414,7.268,2.694,0.032
,SVR,0.0199,0.0158,2.998,9.073,7.184,2.672,0.101
,TCN,0.0197,0.0153,2.898,8.943,6.981,2.584,0.127
,TFT,0.0195,0.0154,2.915,8.853,7.009,2.599,0.144
November 2021,ARIMA,0.0237,0.0187,3.869,10.778,8.518,3.413,0.593
,GRU,0.0239,0.0192,3.957,10.865,8.746,3.493,0.586
,HYBRID,0.0240,0.0191,3.934,10.922,8.677,3.472,0.582
,KNN,0.0238,0.0187,3.862,10.822,8.500,3.407,0.589
,LSTM,0.0239,0.0195,4.030,10.866,8.888,3.556,0.586
,RF,0.0246,0.0195,4.011,11.205,8.858,3.540,0.560
,SVR,0.0229,0.0177,3.655,10.431,8.070,3.226,0.618
,TCN,0.0237,0.0187,3.852,10.756,8.493,3.399,0.594
,TFT,0.0239,0.0183,3.786,10.885,8.338,3.341,0.584
December 2021,ARIMA,0.0194,0.0144,3.707,8.824,6.537,3.177,0.694
,GRU,0.0192,0.0147,3.794,8.730,6.664,3.250,0.701
,HYBRID,0.0192,0.0148,3.830,8.714,6.728,3.281,0.702
,KNN,0.0193,0.0144,3.729,8.799,6.569,3.196,0.696
,LSTM,0.0193,0.0155,4.019,8.782,7.031,3.441,0.697
,RF,0.0202,0.0151,3.894,9.173,6.867,3.338,0.670
,SVR,0.0215,0.0153,3.984,9.794,6.955,3.410,0.623
,TCN,0.0194,0.0146,3.760,8.805,6.625,3.223,0.696
,TFT,0.0194,0.0152,3.927,8.805,6.921,3.366,0.696
January 2022,ARIMA,0.0238,0.0200,5.628,10.808,9.118,4.743,0.888
,GRU,0.0239,0.0203,5.661,10.871,9.223,4.776,0.886
,HYBRID,0.0242,0.0206,5.747,11.012,9.372,4.850,0.883
,KNN,0.0237,0.0202,5.645,10.772,9.169,4.759,0.888
,LSTM,0.0246,0.0212,5.926,11.168,9.619,4.996,0.880
,RF,0.0254,0.0214,5.967,11.533,9.752,5.037,0.872
,SVR,0.0236,0.0202,5.736,10.738,9.204,4.828,0.889
,TCN,0.0236,0.0198,5.571,10.736,9.019,4.695,0.889
,TFT,0.0235,0.0198,5.574,10.693,9.027,4.698,0.890
February 2022,ARIMA,0.0170,0.0130,4.314,7.735,5.915,3.553,0.654
,GRU,0.0176,0.0134,4.459,8.006,6.092,3.670,0.629
,HYBRID,0.0176,0.0134,4.433,7.991,6.078,3.651,0.631
,KNN,0.0175,0.0133,4.414,7.959,6.068,3.637,0.633
,LSTM,0.0181,0.0139,4.615,8.217,6.318,3.800,0.609
,RF,0.0170,0.0130,4.341,7.736,5.934,3.573,0.654
,SVR,0.0184,0.0143,4.796,8.390,6.509,3.942,0.593
,TCN,0.0169,0.0130,4.327,7.676,5.930,3.563,0.659
,TFT,0.0171,0.0133,4.450,7.783,6.038,3.658,0.650
March 2022,ARIMA,0.0239,0.0161,4.603,10.872,7.343,3.885,0.619
,GRU,0.0237,0.0160,4.553,10.782,7.262,3.842,0.625
,HYBRID,0.0236,0.0161,4.597,10.752,7.315,3.878,0.627
,KNN,0.0238,0.0161,4.610,10.846,7.341,3.890,0.621
,LSTM,0.0238,0.0163,4.669,10.834,7.433,3.939,0.622
,RF,0.0234,0.0157,4.429,10.628,7.119,3.742,0.636
,SVR,0.0254,0.0178,5.017,11.549,8.103,4.242,0.570
,TCN,0.0239,0.0162,4.615,10.856,7.363,3.895,0.620
,TFT,0.0237,0.0163,4.641,10.781,7.392,3.916,0.626
April 2022,ARIMA,0.0234,0.0190,4.122,10.663,8.621,3.614,0.667
,GRU,0.0230,0.0184,3.992,10.469,8.368,3.500,0.679
,HYBRID,0.0233,0.0185,4.021,10.591,8.432,3.527,0.671
,KNN,0.0236,0.0191,4.154,10.728,8.692,3.642,0.663
,LSTM,0.0236,0.0189,4.098,10.723,8.590,3.594,0.663
,RF,0.0230,0.0180,3.878,10.442,8.170,3.403,0.681
,SVR,0.0228,0.0184,3.986,10.354,8.385,3.497,0.686
,TCN,0.0233,0.0187,4.055,10.602,8.499,3.556,0.671
,TFT,0.0233,0.0188,4.082,10.618,8.549,3.579,0.670
May 2022,ARIMA,0.0311,0.0260,7.836,14.128,11.808,6.542,0.633
,GRU,0.0311,0.0260,7.866,14.155,11.842,6.566,0.631
,HYBRID,0.0311,0.0261,7.866,14.149,11.854,6.567,0.632
,KNN,0.0312,0.0260,7.843,14.212,11.807,6.547,0.628
,LSTM,0.0316,0.0265,7.979,14.368,12.038,6.663,0.620
,RF,0.0310,0.0263,7.964,14.098,11.956,6.644,0.634
,SVR,0.0299,0.0254,7.709,13.601,11.570,6.431,0.660
,TCN,0.0312,0.0259,7.812,14.175,11.783,6.522,0.630
,TFT,0.0313,0.0256,7.756,14.228,11.641,6.470,0.628
Mean,ARIMA,0.0244,0.0188,4.536,11.119,8.569,3.905,0.649
,GRU,0.0246,0.0191,4.604,11.184,8.699,3.964,0.645
,HYBRID,0.0247,0.0193,4.632,11.237,8.767,3.989,0.643
,KNN,0.0245,0.0189,4.561,11.155,8.613,3.926,0.646
,LSTM,0.0249,0.0197,4.739,11.326,8.952,4.080,0.636
,RF,0.0251,0.0193,4.643,11.396,8.792,3.999,0.631
,SVR,0.0250,0.0193,4.667,11.358,8.778,4.015,0.630
,TCN,0.0244,0.0189,4.543,11.107,8.588,3.912,0.650
,TFT,0.0245,0.0189,4.559,11.144,8.593,3.923,0.649
