Test Period,Model,nRMSE,nMAE,nMAPE,RMSE,MAE,MAPE,R2
June 2021,ARIMA,0.0213,0.0164,7.011,0.0564,0.0434,5.704,0.827
,GRU,0.0201,0.0155,6.735,0.0533,0.0411,5.469,0.846
,HYBRID,0.0199,0.0154,6.683,0.0525,0.0407,5.424,0.851
,KNN,0.0196,0.0148,6.514,0.0518,0.0393,5.276,0.855
,LSTM,0.0197,0.0155,6.779,0.0522,0.0411,5.496,0.852
,RF,0.0195,0.0153,6.742,0.0517,0.0404,5.453,0.855
,SVR,0.0205,0.0153,6.712,0.0543,0.0405,5.436,0.840
,TCN,0.0193,0.0149,6.488,0.0511,0.0393,5.259,0.859
,TFT,0.0205,0.0153,6.704,0.0543,0.0404,5.429,0.840
July 2021,ARIMA,0.0101,0.0071,3.744,0.0266,0.0187,2.937,0.760
,GRU,0.0098,0.0071,3.771,0.0259,0.0189,2.961,0.772
,HYBRID,0.0097,0.0071,3.743,0.0256,0.0187,2.939,0.778
,KNN,0.0097,0.0066,3.534,0.0255,0.0175,2.769,0.779
,LSTM,0.0095,0.0070,3.697,0.0252,0.0185,2.904,0.784
,RF,0.0101,0.0074,3.957,0.0267,0.0197,3.103,0.758
,SVR,0.0101,0.0075,4.043,0.0267,0.0199,3.164,0.758
,TCN,0.0096,0.0070,3.668,0.0255,0.0184,2.880,0.779
,TFT,0.0097,0.0071,3.778,0.0257,0.0188,2.963,0.776
August 2021,ARIMA,0.0282,0.0217,6.205,0.0745,0.0574,5.389,0.860
,GRU,0.0284,0.0223,6.359,0.0751,0.0589,5.523,0.858
,HYBRID,0.0283,0.0222,6.321,0.0747,0.0586,5.491,0.859
,KNN,0.0282,0.0223,6.379,0.0745,0.0591,5.540,0.860
,LSTM,0.0281,0.0213,6.093,0.0743,0.0564,5.291,0.861
,RF,0.0280,0.0225,6.433,0.0740,0.0596,5.587,0.862
,SVR,0.0273,0.0214,6.112,0.0723,0.0565,5.307,0.868
,TCN,0.0280,0.0215,6.147,0.0740,0.0569,5.339,0.862
,TFT,0.0276,0.0212,6.047,0.0731,0.0560,5.253,0.865
September 2021,ARIMA,0.0252,0.0170,4.844,0.0666,0.0451,4.220,0.744
,GRU,0.0263,0.0169,4.786,0.0696,0.0447,4.171,0.721
,HYBRID,0.0262,0.0168,4.759,0.0692,0.0445,4.148,0.724
,KNN,0.0258,0.0177,5.039,0.0683,0.0468,4.388,0.731
,LSTM,0.0259,0.0173,4.903,0.0684,0.0458,4.273,0.730
,RF,0.0267,0.0175,4.990,0.0705,0.0462,4.344,0.713
