TIMESTAMP,GPT-4O_OPEN_PRICE_USD,GPT-4O_HIGH_PRICE_USD,GPT-4O_LOW_PRICE_USD,GPT-4O_CLOSE_PRICE_USD,Adj Close,GPT-4O_VOLUME_USD,GPT-4O_DIVIDENDS_USD,GPT-4O_STOCK_SPLITS_USD
,,,,0.0,,795856.0,0.0,0.0
,,,,0.0,,295063.0,0.0,0.0
,,,,0.0,,206475.0,0.0,0.0
,,,,0.0,,209170.0,0.0,0.0
,,,,0.0,,69852.0,0.0,0.0
,,,,0.0,,32659.0,0.0,0.0
,,,,0.0,,55843.0,0.0,0.0
,,,,0.0,,43950.0,0.0,0.0
,,,,0.0,,26145.0,0.0,0.0
,,,,0.0,,36391.0,0.0,0.0
,,,,0.0,,21977.0,0.0,0.0
,,,,0.0,,13916.0,0.0,0.0
,,,,0.0,,18187.0,0.0,0.0
,,,,0.0,,9294.0,0.0,0.0
,,,,0.0,,10673.0,0.0,0.0
,,,,0.0,,5975.0,0.0,0.0
,,,,0.0,,4084.0,0.0,0.0
,,,,0.0,,9701.0,0.0,0.0
,,,,0.0,,10147.0,0.0,0.0
,,,,0.0,,3586.0,0.0,0.0
,,,,0.0,,25549.0,0.0,0.0
,,,,0.0,,10551.0,0.0,0.0
,,,,0.0,,6331.0,0.0,0.0
,,,,0.0,,6301.0,0.0,0.0
,,,,0.0,,15938.0,0.0,0.0
,,,,0.0,,1433.0,0.0,0.0
,,,,0.0,,8670.0,0.0,0.0
,,,,0.0,,7695.0,0.0,0.0
,,,,0.0,,14896.0,0.0,0.0
,,,,0.0,,1694.0,0.0,0.0
,,,,0.0,,5682.0,0.0,0.0
,,,,0.0,,2623.0,0.0,0.0
,,,,0.0,,2992.0,0.0,0.0
,,,,0.0,,3793.0,0.0,0.0
,,,,0.0,,2779.0,0.0,0.0
,,,,0.0,,2866.0,0.0,0.0
,,,,0.0,,1350.0,0.0,0.0
,,,,0.0,,684.0,0.0,0.0
,,,,0.0,,2291.0,0.0,0.0
,,,,0.0,,855.0,0.0,0.0
,,,,0.0,,512.0,0.0,0.0
,,,,0.0,,460.0,0.0,0.0
,,,,0.0,,750.0,0.0,0.0
,,,,0.0,,952.0,0.0,0.0
,,,,0.0,,1099.0,0.0,0.0
,,,,0.0,,254.0,0.0,0.0
,,,,0.0,,13.0,0.0,0.0
,,,,0.0,,178.0,0.0,0.0
,,,,0.0,,301.0,0.0,0.0
,,,,0.0,,835.0,0.0,0.0
,,,,0.0,,1954.0,0.0,0.0
,,,,0.0,,513.0,0.0,0.0
,,,,0.0,,132.0,0.0,0.0
,,,,0.0,,856.0,0.0,0.0
,,,,0.0,,47.0,0.0,0.0
,,,,0.0,,3017.0,0.0,0.0
,,,,0.0,,1277.0,0.0,0.0
,,,,0.0,,484.0,0.0,0.0
,,,,0.0,,22.0,0.0,0.0
,,,,0.0,,2576.0,0.0,0.0
,,,,0.0,,1481.0,0.0,0.0
,,,,0.0,,109.0,0.0,0.0
,,,,0.0,,169.0,0.0,0.0
,,,,0.0,,225.0,0.0,0.0
,,,,0.0,,117.0,0.0,0.0
,,,,0.0,,11724.0,0.0,0.0
,,,,0.0,,41.0,0.0,0.0
,,,,0.0,,938.0,0.0,0.0
,,,,0.0,,10.0,0.0,0.0
,,,,0.0,,458.0,0.0,0.0
,,,,0.0,,394.0,0.0,0.0
,,,,0.0,,57.0,0.0,0.0
,,,,0.0,,207.0,0.0,0.0
,,,,0.0,,372.0,0.0,0.0
,,,,0.0,,60.0,0.0,0.0
,,,,0.0,,36.0,0.0,0.0
,,,,0.0,,113.0,0.0,0.0
,,,,0.0,,997.0,0.0,0.0
,,,,0.0,,1288.0,0.0,0.0
,,,,0.0,,3894.0,0.0,0.0
,,,,0.0,,90.0,0.0,0.0
,,,,0.0,,115.0,0.0,0.0
,,,,0.0,,211.0,0.0,0.0
,,,,0.0,,186.0,0.0,0.0
,,,,0.0,,153.0,0.0,0.0
,,,,0.0,,82.0,0.0,0.0
