Test Period,Model,nRMSE,nMAE,nMAPE,RMSE,MAE,MAPE,R2
June 2021,ARIMA,0.0261,0.0202,5.696,9.511,7.376,4.814,0.786
,GRU,0.0237,0.0184,5.238,8.653,6.721,4.421,0.823
,HYBRID,0.0254,0.0199,5.613,9.256,7.253,4.743,0.796
,KNN,0.0249,0.0191,5.470,9.075,6.974,4.613,0.805
,LSTM,0.0231,0.0180,5.108,8.429,6.558,4.312,0.832
,RF,0.0252,0.0194,5.523,9.191,7.076,4.661,0.800
,SVR,0.0258,0.0192,5.471,9.418,7.008,4.616,0.790
,TCN,0.0244,0.0187,5.338,8.897,6.816,4.502,0.813
,TFT,0.0245,0.0188,5.377,8.929,6.864,4.535,0.812
July 2021,ARIMA,0.0114,0.0089,3.108,4.171,3.256,2.543,0.806
,GRU,0.0106,0.0081,2.800,3.864,2.951,2.293,0.833
,HYBRID,0.0105,0.0080,2.772,3.844,2.919,2.270,0.835
,KNN,0.0115,0.0089,3.099,4.198,3.237,2.534,0.803
,LSTM,0.0102,0.0077,2.684,3.738,2.823,2.197,0.844
,RF,0.0115,0.0089,3.099,4.186,3.234,2.533,0.805
,SVR,0.0123,0.0095,3.326,4.480,3.467,2.718,0.776
,TCN,0.0112,0.0088,3.065,4.074,3.224,2.510,0.815
,TFT,0.0112,0.0089,3.091,4.099,3.242,2.529,0.813
August 2021,ARIMA,0.0197,0.0154,3.868,7.187,5.630,3.335,0.762
,GRU,0.0196,0.0156,3.901,7.140,5.675,3.363,0.765
,HYBRID,0.0196,0.0155,3.892,7.131,5.665,3.356,0.766
,KNN,0.0193,0.0154,3.864,7.041,5.613,3.331,0.772
,LSTM,0.0188,0.0151,3.786,6.852,5.494,3.263,0.784
,RF,0.0195,0.0159,3.981,7.104,5.783,3.432,0.768
,SVR,0.0203,0.0160,4.010,7.400,5.823,3.456,0.748
,TCN,0.0198,0.0156,3.924,7.209,5.701,3.383,0.761
,TFT,0.0197,0.0155,3.898,7.183,5.667,3.361,0.762
September 2021,ARIMA,0.0329,0.0221,5.210,11.985,8.062,4.520,0.717
,GRU,0.0325,0.0211,4.968,11.870,7.710,4.312,0.722
,HYBRID,0.0324,0.0212,4.983,11.818,7.731,4.325,0.725
,KNN,0.0331,0.0220,5.178,12.084,8.007,4.493,0.712
,LSTM,0.0311,0.0212,4.979,11.352,7.728,4.322,0.746
,RF,0.0325,0.0218,5.160,11.868,7.941,4.475,0.722
,SVR,0.0342,0.0228,5.419,12.455,8.334,4.698,0.694
,TCN,0.0329,0.0222,5.256,11.991,8.107,4.558,0.717
,TFT,0.0331,0.0221,5.244,12.087,8.070,4.546,0.712
October 2021,ARIMA,0.0198,0.0158,3.550,7.218,5.750,3.106,0.491
,GRU,0.0196,0.0155,3.487,7.154,5.656,3.051,0.500
,HYBRID,0.0197,0.0156,3.516,7.172,5.704,3.077,0.498
,KNN,0.0198,0.0155,3.501,7.237,5.671,3.063,0.489
,LSTM,0.0195,0.0155,3.482,7.130,5.638,3.046,0.504
,RF,0.0195,0.0154,3.465,7.101,5.617,3.032,0.508
,SVR,0.0201,0.0157,3.531,7.317,5.723,3.089,0.477
,TCN,0.0201,0.0161,3.639,7.329,5.883,3.182,0.476
,TFT,0.0198,0.0158,3.565,7.215,5.772,3.118,0.492
November 2021,ARIMA,0.0388,0.0285,5.145,14.134,10.409,4.612,0.670
,GRU,0.0386,0.0292,5.281,14.063,10.665,4.732,0.674
,HYBRID,0.0384,0.0290,5.241,14.000,10.592,4.697,0.676
,KNN,0.0395,0.0284,5.115,14.390,10.357,4.585,0.658
,LSTM,0.0371,0.0283,5.102,13.513,10.330,4.574,0.699
,RF,0.0393,0.0297,5.364,14.341,10.830,4.806,0.660
,SVR,0.0392,0.0281,5.040,14.279,10.235,4.520,0.663
,TCN,0.0387,0.0282,5.087,14.128,10.303,4.560,0.671
,TFT,0.0388,0.0282,5.078,14.145,10.282,4.552,0.670
December 2021,ARIMA,0.0213,0.0150,4.062,7.754,5.454,3.463,0.736
,GRU,0.0215,0.0150,4.051,7.844,5.457,3.454,0.730
,HYBRID,0.0204,0.0145,3.917,7.454,5.284,3.341,0.756
,KNN,0.0208,0.0143,3.865,7.584,5.228,3.298,0.748
,LSTM,0.0193,0.0143,3.851,7.042,5.201,3.285,0.783
,RF,0.0221,0.0151,4.081,8.061,5.507,3.481,0.715
,SVR,0.0233,0.0163,4.415,8.481,5.938,3.764,0.685
,TCN,0.0212,0.0147,3.980,7.746,5.376,3.396,0.737
,TFT,0.0213,0.0147,3.987,7.757,5.374,3.400,0.736
January 2022,ARIMA,0.0152,0.0118,4.048,5.544,4.296,3.316,0.878
,GRU,0.0141,0.0109,3.734,5.157,3.986,3.062,0.895
,HYBRID,0.0143,0.0111,3.812,5.233,4.052,3.123,0.891
,KNN,0.0147,0.0113,3.915,5.379,4.137,3.204,0.885
,LSTM,0.0138,0.0106,3.650,5.016,3.883,2.991,0.900
,RF,0.0155,0.0114,3.947,5.639,4.161,3.229,0.874
,SVR,0.0163,0.0127,4.396,5.960,4.637,3.597,0.859
,TCN,0.0149,0.0115,3.954,5.443,4.196,3.239,0.883
,TFT,0.0152,0.0116,4.003,5.529,4.240,3.277,0.879
February 2022,ARIMA,0.0158,0.0131,5.003,5.779,4.766,4.018,0.720
,GRU,0.0157,0.0128,4.920,5.722,4.683,3.951,0.726
,HYBRID,0.0158,0.0128,4.901,5.759,4.674,3.937,0.722
,KNN,0.0160,0.0132,5.054,5.836,4.800,4.057,0.715
,LSTM,0.0158,0.0130,4.968,5.754,4.745,3.992,0.723
,RF,0.0158,0.0133,5.097,5.776,4.841,4.092,0.720
,SVR,0.0165,0.0138,5.343,6.001,5.045,4.284,0.698
,TCN,0.0161,0.0134,5.128,5.888,4.882,4.118,0.710
,TFT,0.0162,0.0132,5.032,5.918,4.816,4.046,0.707
March 2022,ARIMA,0.0106,0.0087,3.572,3.872,3.161,2.827,0.850
,GRU,0.0104,0.0084,3.461,3.795,3.056,2.738,0.856
,HYBRID,0.0104,0.0083,3.422,3.806,3.015,2.706,0.855
,KNN,0.0107,0.0087,3.588,3.900,3.165,2.838,0.848
,LSTM,0.0104,0.0083,3.457,3.783,3.045,2.734,0.857
,RF,0.0106,0.0084,3.486,3.868,3.080,2.758,0.850
,SVR,0.0116,0.0092,3.801,4.224,3.355,3.007,0.822
,TCN,0.0108,0.0089,3.662,3.941,3.238,2.898,0.845
,TFT,0.0107,0.0085,3.535,3.893,3.114,2.795,0.849
April 2022,ARIMA,0.0108,0.0088,3.766,3.935,3.224,2.963,0.768
,GRU,0.0106,0.0087,3.702,3.878,3.174,2.913,0.774
,HYBRID,0.0107,0.0087,3.709,3.920,3.172,2.917,0.769
,KNN,0.0110,0.0089,3.789,3.998,3.236,2.979,0.760
,LSTM,0.0104,0.0085,3.627,3.804,3.105,2.853,0.783
,RF,0.0110,0.0089,3.804,4.004,3.261,2.993,0.760
,SVR,0.0119,0.0095,4.068,4.349,3.459,3.195,0.716
,TCN,0.0108,0.0088,3.733,3.951,3.197,2.937,0.766
,TFT,0.0118,0.0093,3.994,4.292,3.399,3.138,0.724
May 2022,ARIMA,0.0152,0.0108,7.736,5.526,3.925,5.271,0.835
,GRU,0.0154,0.0116,8.157,5.629,4.217,5.589,0.833
,HYBRID,0.0157,0.0115,8.135,5.712,4.181,5.564,0.828
,KNN,0.0157,0.0114,8.079,5.712,4.146,5.523,0.828
,LSTM,0.0154,0.0116,8.114,5.628,4.213,5.568,0.833
,RF,0.0166,0.0122,8.505,6.038,4.435,5.840,0.808
,SVR,0.0177,0.0127,8.994,6.465,4.616,6.146,0.780
,TCN,0.0160,0.0117,8.243,5.850,4.259,5.646,0.820
