Test Period,Model,nRMSE,nMAE,nMAPE,RMSE,MAE,MAPE,R2
June 2021,ARIMA,0.0401,0.0298,6.357,18.247,13.541,5.574,0.641
,GRU,0.0402,0.0306,6.542,18.270,13.908,5.736,0.640
,HYBRID,0.0402,0.0309,6.601,18.300,14.042,5.788,0.639
,KNN,0.0410,0.0297,6.361,18.665,13.523,5.576,0.624
,LSTM,0.0393,0.0306,6.539,17.896,13.913,5.734,0.655
,RF,0.0421,0.0308,6.573,19.138,14.014,5.765,0.605
,SVR,0.0453,0.0328,6.998,20.619,14.896,6.137,0.542
,TCN,0.0403,0.0305,6.492,18.333,13.861,5.694,0.638
,TFT,0.0404,0.0300,6.405,18.385,13.653,5.617,0.636
July 2021,ARIMA,0.0148,0.0120,3.052,6.740,5.480,2.623,0.786
,GRU,0.0144,0.0119,3.024,6.544,5.430,2.599,0.799
,HYBRID,0.0145,0.0120,3.049,6.577,5.451,2.619,0.797
,KNN,0.0153,0.0123,3.126,6.967,5.597,2.685,0.772
,LSTM,0.0139,0.0116,2.937,6.341,5.267,2.524,0.811
,RF,0.0155,0.0124,3.158,7.031,5.634,2.712,0.767
,SVR,0.0178,0.0144,3.676,8.114,6.567,3.158,0.690
,TCN,0.0149,0.0124,3.139,6.763,5.646,2.699,0.785
,TFT,0.0149,0.0123,3.134,6.798,5.600,2.692,0.783
August 2021,ARIMA,0.0254,0.0217,3.980,11.574,9.848,3.557,0.766
,GRU,0.0248,0.0211,3.890,11.283,9.608,3.475,0.778
,HYBRID,0.0248,0.0212,3.906,11.298,9.637,3.489,0.777
,KNN,0.0255,0.0221,4.052,11.616,10.034,3.621,0.764
,LSTM,0.0240,0.0204,3.777,10.937,9.297,3.373,0.791
,RF,0.0267,0.0226,4.140,12.122,10.259,3.700,0.743
,SVR,0.0276,0.0220,4.000,12.571,9.999,3.578,0.724
,TCN,0.0255,0.0217,3.993,11.589,9.884,3.568,0.765
,TFT,0.0257,0.0217,3.978,11.681,9.871,3.556,0.762
September 2021,ARIMA,0.0311,0.0201,4.071,14.141,9.140,3.599,0.720
,GRU,0.0305,0.0202,4.061,13.894,9.164,3.592,0.729
,HYBRID,0.0306,0.0204,4.104,13.909,9.263,3.630,0.729
,KNN,0.0306,0.0197,3.970,13.907,8.940,3.511,0.729
,LSTM,0.0295,0.0194,3.909,13.409,8.812,3.457,0.748
,RF,0.0319,0.0220,4.438,14.524,9.997,3.925,0.704
,SVR,0.0319,0.0216,4.369,14.525,9.845,3.864,0.704
,TCN,0.0310,0.0198,4.018,14.104,9.026,3.552,0.721
,TFT,0.0313,0.0200,4.055,14.213,9.084,3.584,0.717
October 2021,ARIMA,0.0196,0.0153,2.891,8.921,6.964,2.578,0.131
,GRU,0.0193,0.0150,2.835,8.764,6.826,2.528,0.161
,HYBRID,0.0193,0.0149,2.818,8.770,6.787,2.513,0.160
,KNN,0.0190,0.0148,2.794,8.628,6.732,2.492,0.187
,LSTM,0.0188,0.0146,2.765,8.571,6.661,2.466,0.198
,RF,0.0189,0.0153,2.880,8.613,6.940,2.568,0.190
,SVR,0.0219,0.0172,3.225,9.940,7.822,2.878,-0.078
,TCN,0.0195,0.0153,2.890,8.874,6.959,2.577,0.140
,TFT,0.0195,0.0154,2.915,8.853,7.009,2.599,0.144
