TIMESTAMP,AE_CLOSE_PRICE_USD,AE_OPEN_PRICE_USD,AE_HIGH_PRICE_USD,AE_LOW_PRICE_USD
2017-12-20,1.3,1.43168,1.55509,1.20975
2017-12-21,1.07866,1.3,1.31132,0.88552
2017-12-22,1.30221,1.07866,1.33905,0.94289
2017-12-23,1.30418,1.30221,1.40606,1.27271
2017-12-24,1.18817,1.30418,1.31007,1.09165
2017-12-25,1.39987,1.18817,1.41591,1.18817
2017-12-26,1.39495,1.39987,1.46616,1.3364
2017-12-27,1.46419,1.39495,1.6999,1.39495
2017-12-28,1.30046,1.46419,1.4656,1.26338
2017-12-29,1.30956,1.30046,1.38605,1.2901
2017-12-30,1.2044,1.30956,1.32,1.10124
2017-12-31,1.30046,1.2044,1.33854,1.1865
2018-01-01,1.29913,1.30046,1.32,1.23722
2018-01-02,1.26,1.30046,1.42527,1.2546
2018-01-03,1.3833,1.26,1.42527,1.26
2018-01-04,1.6354,1.3833,1.7,1.31738
2018-01-05,2.0451,1.6354,2.10643,1.6354
2018-01-06,2.43874,2.0451,2.43874,1.96061
2018-01-07,2.55794,2.43874,2.84573,2.43604
2018-01-08,2.42158,2.55794,2.7868,2.08947
2018-01-09,2.45309,2.42158,2.57,2.301
2018-01-10,2.16363,2.45309,2.58096,1.98989
2018-01-11,1.98803,2.16363,2.32232,1.98803
2018-01-12,2.09414,1.98803,2.32123,1.89506
2018-01-13,2.16585,2.09414,2.29235,1.92168
2018-01-14,2.00587,2.16585,2.30839,1.85
2018-01-15,1.95068,2.00587,2.07906,1.70679
2018-01-16,1.44517,1.95068,1.95068,1.21265
2018-01-17,1.5388,1.44517,1.58387,1.21399
2018-01-18,1.4054,1.5388,1.59495,1.3942
2018-01-19,1.51894,1.4054,1.54479,1.36
2018-01-20,1.74289,1.51894,1.82187,1.50539
2018-01-21,1.44656,1.74289,1.75689,1.43365
2018-01-22,1.45528,1.42369,1.65156,1.38451
2018-01-23,1.50694,1.45528,1.54028,1.3942
2018-01-24,1.8066,1.50694,1.87252,1.48454
2018-01-25,2.16655,1.82099,2.18858,1.8066
2018-01-26,2.38803,2.16655,2.5452,2.04619
2018-01-27,2.83,2.38803,2.98814,2.369
2018-01-28,3.19,2.84573,3.50815,2.83
2018-01-29,3.05133,3.19,3.3,2.75592
2018-01-30,2.4466,3.03196,3.06555,2.44242
2018-01-31,3.01038,2.4466,3.01041,2.29197
2018-02-01,2.7325,3.01038,3.23635,2.54167
2018-02-02,2.602,2.7325,2.73968,2.22761
2018-02-03,2.8503,2.602,2.99869,2.41659
2018-02-04,2.53254,2.8503,2.92416,2.49585
2018-02-05,2.0903,2.53254,2.56692,1.98222
2018-02-06,2.399,2.0903,2.42016,1.72612
2018-02-07,2.54936,2.399,3.71422,2.11077
2018-02-08,2.77073,2.54936,2.95033,2.54619
2018-02-09,2.90029,2.77073,2.92393,2.63032
2018-02-10,2.76426,2.90029,2.99001,2.66159
2018-02-11,2.46638,2.76426,2.76711,2.26905
2018-02-12,2.63791,2.46638,3.03035,2.46638
2018-02-13,2.41266,2.63791,2.63791,2.27717
2018-02-14,2.61954,2.41266,2.61954,2.41266
2018-02-15,2.55329,2.61954,2.66333,2.51913
2018-02-16,2.61386,2.55329,2.61752,2.49975
2018-02-17,2.67508,2.61386,2.70212,2.57712
2018-02-18,2.57687,2.67508,2.77671,2.49125
2018-02-19,2.68234,2.57687,2.7826,2.52703
2018-02-20,2.53257,2.68234,2.73025,2.5249
2018-02-21,2.31978,2.53257,2.54908,2.28325
2018-02-22,2.25702,2.31978,2.4959,2.20797
2018-02-23,2.3213,2.25702,2.40817,2.20708
2018-02-24,2.21986,2.3213,2.38042,2.20077
2018-02-25,2.16595,2.21986,2.25482,2.08599
2018-02-26,2.22953,2.16595,2.25845,2.04665
2018-02-27,2.42751,2.22953,2.6304,2.15527
2018-02-28,2.30789,2.42751,2.5831,2.29099
2018-03-01,2.37504,2.30789,2.46898,2.2736
2018-03-02,2.36226,2.37502,2.46297,2.28415
2018-03-03,2.30576,2.36226,2.41371,2.30396
2018-03-04,2.31462,2.30576,2.33026,2.25159
2018-03-05,2.3071,2.31459,2.3573,2.29886
2018-03-06,2.11326,2.3071,2.32367,2.1014
2018-03-07,1.88248,2.11325,2.15405,1.85211
2018-03-08,1.84544,1.88247,1.93797,1.74748
2018-03-09,1.87203,1.84544,1.88572,1.70462
2018-03-10,1.75556,1.872,1.93872,1.75211
2018-03-11,1.81889,1.75556,1.85884,1.72291
2018-03-12,1.77183,1.818,1.85322,1.74308
2018-03-13,1.72373,1.77183,1.81476,1.71414
2018-03-14,1.5769,1.724,1.75561,1.56348
2018-03-15,1.61581,1.57691,1.62066,1.5289
2018-03-16,1.60093,1.61581,1.66464,1.57678
2018-03-17,1.49137,1.60093,1.622,1.47283
2018-03-18,1.38551,1.49137,1.49146,1.201
2018-03-19,1.58169,1.38551,1.63656,1.35645
2018-03-20,1.65929,1.58169,1.7608,1.52639
2018-03-21,1.74787,1.65929,1.77321,1.63079
2018-03-22,1.68771,1.74788,1.82752,1.56614
2018-03-23,1.69521,1.68771,1.70317,1.5491
2018-03-24,1.67145,1.69521,1.75799,1.67145
2018-03-25,1.64548,1.67144,1.71437,1.60939
2018-03-26,1.59379,1.64547,1.70106,1.51985
2018-03-27,1.58882,1.59379,1.70105,1.52062
2018-03-28,1.65224,1.58882,1.69584,1.57039
2018-03-29,1.44336,1.65224,1.6525,1.41979
2018-03-30,1.55846,1.44336,1.64528,1.38656
2018-03-31,1.59792,1.55846,1.65251,1.54562
2018-04-01,1.46317,1.59792,1.61176,1.39924
2018-04-02,1.46661,1.46317,1.5177,1.45458
2018-04-03,1.50289,1.46661,1.53565,1.46204
2018-04-04,1.40912,1.5029,1.50697,1.40055
2018-04-05,1.42028,1.40912,1.44905,1.35173
2018-04-06,1.36262,1.42028,1.42029,1.3498
2018-04-07,1.39273,1.36262,1.4168,1.36026
2018-04-08,1.40331,1.39273,1.41467,1.38513
2018-04-09,1.32472,1.40085,1.43982,1.28396
2018-04-10,1.35378,1.32472,1.3723,1.28931
2018-04-11,1.46797,1.35378,1.46885,1.33898
2018-04-12,1.6732,1.46855,1.67652,1.45223
2018-04-13,1.70053,1.6732,1.91158,1.64121
2018-04-14,1.724,1.70053,1.80132,1.62754
2018-04-15,1.82342,1.72445,1.8245,1.71141
2018-04-16,1.781,1.82342,1.82425,1.68132
2018-04-17,1.74107,1.781,1.80472,1.73228
2018-04-18,1.8687,1.74351,1.87235,1.73562
2018-04-19,2.00841,1.86101,2.03039,1.84994
2018-04-20,2.05206,2.00841,2.1181,1.57285
2018-04-21,1.98004,2.05206,2.14019,1.82071
2018-04-22,2.2638,1.99952,2.61228,1.96852
2018-04-23,2.34892,2.26571,2.43934,2.2473
2018-04-24,2.60252,2.34892,2.65447,2.33538
2018-04-25,2.32489,2.60252,2.60252,2.17032
2018-04-26,2.62805,2.32601,2.74992,2.29911
2018-04-27,2.92536,2.62755,3.27182,2.54747
2018-04-28,4.22157,2.92536,4.58812,2.88801
