TIMESTAMP,XRP_ACTIVE_ADDRESS_COUNT,XRP_AVERAGE_BLOCK_SIZE_BYTES,XRP_AVERAGE_BLOCK_TIME_MINUTES,XRP_AVERAGE_FEE_PERCENTAGE_IN_TOTAL_BLOCK_REWARD,XRP_AVERAGE_HASH_RATE_HASHES_PER_SECOND,XRP_AVERAGE_MINING_DIFFICULTY_HASHES,XRP_AVERAGE_TRANSACTION_FEE_USD,XRP_AVERAGE_TRANSACTION_VALUE_USD,XRP_CONFIRMED_TRANSACTION_COUNT,XRP_MEDIAN_TRANSACTION_FEE_USD,XRP_MEDIAN_TRANSACTION_VALUE_USD,XRP_MINING_PROFITABILITY,XRP_SENT_COINS_USD,XRP_SENT_FROM_UNIQUE_ADDRESS_COUNT,XRP_TOP_100_RICHEST_PERCENTAGE_OF_TOTAL_COINS
2009-01-03,,,,,,,,,,,,,,,
2009-01-04,,,,,,,,,,,,,,,
2009-01-05,,,,,,,,,,,,,,,
2009-01-06,,,,,,,,,,,,,,,
2009-01-07,,,,,,,,,,,,,,,
2009-01-08,,,,,,,,,,,,,,,
2009-01-09,,,,,,,,,,,,,,,
2009-01-10,,,,,,,,,,,,,,,
2009-01-11,,,,,,,,,,,,,,,
2009-01-12,,,,,,,,,,,,,,,
2009-01-13,,,,,,,,,,,,,,,
2009-01-14,,,,,,,,,,,,,,,
2009-01-15,,,,,,,,,,,,,,,
2009-01-16,,,,,,,,,,,,,,,
2009-01-17,,,,,,,,,,,,,,,
2009-01-18,,,,,,,,,,,,,,,
2009-01-19,,,,,,,,,,,,,,,
2009-01-20,,,,,,,,,,,,,,,
2009-01-21,,,,,,,,,,,,,,,
2009-01-22,,,,,,,,,,,,,,,
2009-01-23,,,,,,,,,,,,,,,
2009-01-24,,,,,,,,,,,,,,,
2009-01-25,,,,,,,,,,,,,,,
2009-01-26,,,,,,,,,,,,,,,
2009-01-27,,,,,,,,,,,,,,,
2009-01-28,,,,,,,,,,,,,,,
2009-01-29,,,,,,,,,,,,,,,
2009-01-30,,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,,
2009-02-01,,,,,,,,,,,,,,,
2009-02-02,,,,,,,,,,,,,,,
2009-02-03,,,,,,,,,,,,,,,
2009-02-04,,,,,,,,,,,,,,,
2009-02-05,,,,,,,,,,,,,,,
2009-02-06,,,,,,,,,,,,,,,
2009-02-07,,,,,,,,,,,,,,,
2009-02-08,,,,,,,,,,,,,,,
2009-02-09,,,,,,,,,,,,,,,
2009-02-10,,,,,,,,,,,,,,,
2009-02-11,,,,,,,,,,,,,,,
2009-02-12,,,,,,,,,,,,,,,
2009-02-13,,,,,,,,,,,,,,,
2009-02-14,,,,,,,,,,,,,,,
2009-02-15,,,,,,,,,,,,,,,
2009-02-16,,,,,,,,,,,,,,,
2009-02-17,,,,,,,,,,,,,,,
2009-02-18,,,,,,,,,,,,,,,
2009-02-19,,,,,,,,,,,,,,,
2009-02-20,,,,,,,,,,,,,,,
2009-02-21,,,,,,,,,,,,,,,
2009-02-22,,,,,,,,,,,,,,,
2009-02-23,,,,,,,,,,,,,,,
2009-02-24,,,,,,,,,,,,,,,
2009-02-25,,,,,,,,,,,,,,,
2009-02-26,,,,,,,,,,,,,,,
2009-02-27,,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,,
2009-03-01,,,,,,,,,,,,,,,
2009-03-02,,,,,,,,,,,,,,,
2009-03-03,,,,,,,,,,,,,,,
2009-03-04,,,,,,,,,,,,,,,
2009-03-05,,,,,,,,,,,,,,,
2009-03-06,,,,,,,,,,,,,,,
2009-03-07,,,,,,,,,,,,,,,
2009-03-08,,,,,,,,,,,,,,,
2009-03-09,,,,,,,,,,,,,,,
2009-03-10,,,,,,,,,,,,,,,
2009-03-11,,,,,,,,,,,,,,,
2009-03-12,,,,,,,,,,,,,,,
2009-03-13,,,,,,,,,,,,,,,
2009-03-14,,,,,,,,,,,,,,,
2009-03-15,,,,,,,,,,,,,,,
